person_id	scheme	value	source
person:leader:8b1b3321c511	ORCID	0000-0001-6512-5566	doi:10.1007/s40258-021-00639-3
person:leader:942313d653a7	OPENALEX	A5085975930	doi:10.1007/s40273-019-00876-4
person:leader:942313d653a7	ORCID	0000-0002-5941-6823	doi:10.1007/s40273-019-00876-4
person:leader:9f2c2404b4d6	OPENALEX	A5003389681	doi:10.1186/s12955-022-01989-9
person:leader:9f2c2404b4d6	ORCID	0000-0002-3370-1554	doi:10.1186/s12955-022-01989-9
person:leader:a0721a90a44f	OPENALEX	A5093433205	doi:10.1186/s12891-024-07304-5
person:leader:a88a6c88814a	OPENALEX	A5036883637	doi:10.3389/ijph.2026.1608807
person:leader:a88a6c88814a	ORCID	0000-0001-9488-887x	doi:10.3389/ijph.2026.1608807
person:leader:ad6bbe401f11	OPENALEX	A5040546783	doi:10.1007/s11136-021-03075-x
person:leader:ad6bbe401f11	ORCID	0000-0003-1426-6777	doi:10.1007/s11136-021-03075-x
person:leader:b101d0407270	OPENALEX	A5010929980	doi:10.1007/s40273-018-0694-6
person:leader:b101d0407270	ORCID	0000-0002-2227-8906	doi:10.1007/s40273-018-0694-6
person:leader:b74a5997703c	OPENALEX	A5061680498	doi:10.1007/s12311-024-01657-2
person:leader:b74a5997703c	OPENALEX	A5124110567	doi:10.1186/s12955-026-02478-z
person:leader:b74a5997703c	ORCID	0000-0002-4486-8632	doi:10.1186/s12955-026-02478-z
person:leader:b9c067658879	OPENALEX	A5132559868	doi:10.1007/s11136-026-04226-8
person:leader:ba7c286781f3	OPENALEX	A5069574274	doi:10.1186/s12955-022-02083-w
person:leader:ba7c286781f3	ORCID	0000-0002-3975-4868	doi:10.1186/s12955-022-02083-w
person:leader:bc605a168c15	OPENALEX	A5089652474	doi:10.3390/curroncol32110645
person:leader:bc605a168c15	ORCID	0000-0002-9806-9393	doi:10.3390/curroncol32110645
person:leader:c2d00c5008f7	OPENALEX	A5090783923	doi:10.1213/ane.0000000000007107
person:leader:c2d00c5008f7	ORCID	0000-0002-9143-5506	doi:10.1213/ane.0000000000007107
person:leader:c4a44baaa49e	OPENALEX	A5030831609	doi:10.1007/s11136-025-04038-2
person:leader:c4a44baaa49e	ORCID	0000-0003-1311-8510	doi:10.1007/s11136-025-04038-2
person:leader:c52a5fd501e9	OPENALEX	A5037683865	doi:10.1007/s11136-019-02115-x
person:leader:c52a5fd501e9	ORCID	0000-0003-2504-343x	doi:10.1007/s11136-019-02115-x
person:leader:c776fcba6574	OPENALEX	A5071601943	doi:10.1007/s11136-022-03143-w
person:leader:c776fcba6574	ORCID	0000-0003-4042-5997	doi:10.1007/s11136-022-03143-w
person:leader:c9be2e978859	OPENALEX	A5034831401	doi:10.1007/s40273-024-01404-9
person:leader:c9be2e978859	ORCID	0000-0002-5228-1292	doi:10.1007/s40273-024-01404-9
person:leader:d9674d98607b	OPENALEX	A5086002810	doi:10.1186/s41687-025-00928-8
person:leader:d9674d98607b	ORCID	0000-0001-5473-3857	doi:10.1186/s41687-025-00928-8
person:leader:da1bac7dcc2d	OPENALEX	A5053689562	doi:10.1186/s12955-025-02397-5
person:leader:da1bac7dcc2d	ORCID	0000-0001-5824-9405	doi:10.1186/s12955-025-02397-5
person:leader:da2b6bcaceb6	OPENALEX	A5007225491	doi:10.1017/s0266462326103602
person:leader:da2b6bcaceb6	ORCID	0000-0001-7261-1255	doi:10.1017/s0266462326103602
person:leader:db0cd1478ab2	OPENALEX	A5031359113	doi:10.1007/s11136-026-04315-8
person:leader:db0cd1478ab2	ORCID	0000-0002-4899-7538	doi:10.1007/s11136-026-04315-8
person:leader:e26a260838e7	OPENALEX	A5043601549	doi:10.1007/s40273-025-01509-9
person:leader:e26a260838e7	ORCID	0000-0001-7645-2079	doi:10.1007/s40273-025-01509-9
person:leader:e441983c0a65	OPENALEX	A5113241600	doi:10.1007/s11136-024-03618-y
person:leader:e448059d8472	OPENALEX	A5072704582	doi:10.1186/s12955-021-01858-x
person:leader:e448059d8472	ORCID	0000-0003-1169-3431	doi:10.1186/s12955-021-01858-x
person:leader:eb823a3d3fe9	OPENALEX	A5010948852	doi:10.1007/s40258-023-00798-5
person:leader:eb823a3d3fe9	ORCID	0000-0002-3879-6193	doi:10.1007/s40258-023-00798-5
person:leader:ece94cf47888	OPENALEX	A5013305477	doi:10.1186/s41687-025-00928-8
person:leader:ece94cf47888	ORCID	0000-0003-0071-732x	doi:10.1186/s41687-025-00928-8
person:leader:ef46534448d4	OPENALEX	A5022213392	doi:10.5492/wjccm.v11.i4.236
person:leader:ef46534448d4	ORCID	0000-0002-9939-7348	doi:10.5492/wjccm.v11.i4.236
person:leader:f5a715e2f518	OPENALEX	A5079423723	doi:10.1186/s12955-026-02521-z
person:leader:f5a715e2f518	ORCID	0000-0001-7859-3684	doi:10.1186/s12955-026-02521-z
person:leader:f6aec8a6037d	OPENALEX	A5024805890	doi:10.1007/s11136-025-03930-1
person:leader:f6aec8a6037d	ORCID	0000-0002-4212-8438	doi:10.1007/s11136-025-03930-1
person:leader:fa3dd095d626	OPENALEX	A5100462659	doi:10.3389/fpsyg.2023.1175402
person:leader:fa3dd095d626	ORCID	0000-0003-3661-3944	doi:10.3389/fpsyg.2023.1175402
person:leader:fa9a063b5705	OPENALEX	A5018887750	doi:10.1186/s12955-023-02144-8
person:leader:fa9a063b5705	ORCID	0000-0002-8718-5516	doi:10.1186/s12955-023-02144-8
person:leader:fbb9eb69f451	OPENALEX	A5049547434	doi:10.1371/journal.pone.0197098
person:leader:fbb9eb69f451	ORCID	0000-0001-5062-6886	doi:10.1371/journal.pone.0197098
person:leader:fc07b6540d1a	OPENALEX	A5038451583	doi:10.1007/s41669-024-00486-7
person:leader:fc07b6540d1a	ORCID	0000-0003-0092-5970	doi:10.1007/s41669-024-00486-7
person:openalex:A5011128673	OPENALEX	A5011128673	doi:10.1186/s12955-023-02177-z
person:openalex:A5011340679	OPENALEX	A5011340679	doi:10.1007/s11136-018-1985-2
person:openalex:A5012652576	OPENALEX	A5012652576	doi:10.1186/s12955-023-02177-z
person:openalex:A5013588948	OPENALEX	A5013588948	doi:10.3390/children8080714
person:openalex:A5013644553	OPENALEX	A5013644553	doi:10.1007/s40273-019-00811-7
person:openalex:A5014702512	OPENALEX	A5014702512	doi:10.1007/s11136-025-03930-1
person:openalex:A5014870235	OPENALEX	A5014870235	doi:10.1186/s12955-021-01889-4
person:openalex:A5018364694	OPENALEX	A5018364694	doi:10.1007/s10198-025-01804-4
person:openalex:A5019640605	OPENALEX	A5019640605	doi:10.1136/bmjopen-2021-051727
person:openalex:A5031125763	OPENALEX	A5031125763	doi:10.1007/s11136-024-03875-x
person:openalex:A5032068645	OPENALEX	A5032068645	doi:10.1002/hsr2.70308
person:openalex:A5035696719	OPENALEX	A5035696719	doi:10.1007/s11136-022-03143-w
person:openalex:A5040717022	OPENALEX	A5040717022	doi:10.1186/s12955-023-02207-w
person:openalex:A5045399261	OPENALEX	A5045399261	doi:10.3389/fepid.2023.1144162
person:openalex:A5046103327	OPENALEX	A5046103327	doi:10.1097/mlr.0000000000002315
person:openalex:A5048456007	OPENALEX	A5048456007	doi:10.1007/s40273-019-00854-w
person:openalex:A5050491421	OPENALEX	A5050491421	doi:10.1186/s12955-024-02305-3
person:openalex:A5053842557	OPENALEX	A5053842557	doi:10.1136/bmjopen-2025-102509
person:openalex:A5054412185	OPENALEX	A5054412185	doi:10.1038/s41433-023-02860-x
person:openalex:A5054515213	OPENALEX	A5054515213	doi:10.1186/s12955-019-1139-4
person:openalex:A5058173329	OPENALEX	A5058173329	doi:10.1097/mlr.0000000000002315
person:openalex:A5058639972	OPENALEX	A5058639972	doi:10.1186/s12955-023-02207-w
person:openalex:A5061247569	OPENALEX	A5061247569	doi:10.1007/s11136-022-03143-w
person:openalex:A5062656907	OPENALEX	A5062656907	doi:10.1007/s11136-026-04223-x
person:openalex:A5062956353	OPENALEX	A5062956353	doi:10.3390/children8080714
person:openalex:A5063917571	OPENALEX	A5063917571	doi:10.1186/s13643-025-03060-2
person:openalex:A5069067858	OPENALEX	A5069067858	doi:10.1007/s11136-022-03143-w
person:openalex:A5072165119	OPENALEX	A5072165119	doi:10.1186/s12955-024-02305-3
person:openalex:A5072547675	OPENALEX	A5072547675	doi:10.1007/s10198-021-01306-z
person:openalex:A5073821926	OPENALEX	A5073821926	doi:10.3389/ijph.2026.1608807
person:openalex:A5074077987	OPENALEX	A5074077987	doi:10.1007/s40273-025-01545-5
person:openalex:A5077284198	OPENALEX	A5077284198	doi:10.1007/s11136-025-03996-x
person:openalex:A5078510482	OPENALEX	A5078510482	doi:10.1007/s11136-025-03917-y
person:openalex:A5080215797	OPENALEX	A5080215797	doi:10.1038/s41433-023-02860-x
person:openalex:A5086528283	OPENALEX	A5086528283	doi:10.1007/s40273-024-01355-1
person:openalex:A5086528283	OPENALEX	A5130215476	doi:10.1007/s10198-025-01804-4
person:openalex:A5087010532	OPENALEX	A5087010532	doi:10.1038/s41433-023-02860-x
person:openalex:A5087311184	OPENALEX	A5087311184	doi:10.1186/s12955-023-02131-z
person:openalex:A5088417854	OPENALEX	A5088417854	doi:10.1177/0272989x19841587
person:openalex:A5090671455	OPENALEX	A5090671455	doi:10.1007/s11136-024-03875-x
person:openalex:A5091194414	OPENALEX	A5091194414	doi:10.1007/s11136-021-03069-9
person:openalex:A5102432342	OPENALEX	A5102432342	doi:10.1186/s12955-023-02177-z
person:openalex:A5102623414	OPENALEX	A5102623414	doi:10.1186/s12891-024-07304-5
person:openalex:A5104134946	OPENALEX	A5104134946	doi:10.1007/s11136-025-03996-x
person:openalex:A5108557660	OPENALEX	A5108557660	doi:10.1007/s11136-025-03996-x
person:openalex:A5108712913	OPENALEX	A5108712913	doi:10.1002/hsr2.70308
person:openalex:A5109331936	OPENALEX	A5109331936	doi:10.1007/s11136-022-03143-w
person:openalex:A5109630235	OPENALEX	A5109630235	doi:10.1186/s12955-023-02177-z
person:openalex:A5109778098	OPENALEX	A5109778098	doi:10.1038/s41433-023-02860-x
person:openalex:A5110068367	OPENALEX	A5110068367	doi:10.1371/journal.pone.0305983
person:openalex:A5110255509	OPENALEX	A5110255509	doi:10.1007/s10198-025-01804-4
person:openalex:A5111023994	OPENALEX	A5111023994	doi:10.1186/s12955-023-02177-z
person:openalex:A5111246879	OPENALEX	A5111246879	doi:10.1007/s40273-024-01404-9
person:openalex:A5111788632	OPENALEX	A5111788632	doi:10.1007/s10198-021-01306-z
person:openalex:A5111900822	OPENALEX	A5111900822	doi:10.1177/0272989x251380556
person:openalex:A5112406075	OPENALEX	A5112406075	doi:10.1371/journal.pone.0209344
person:openalex:A5112406075	OPENALEX	A5114222750	doi:10.1371/journal.pone.0305983
person:openalex:A5112728116	OPENALEX	A5112728116	doi:10.1007/s40258-023-00798-5
person:openalex:A5112901636	OPENALEX	A5112901636	doi:10.1007/s12311-024-01657-2
person:openalex:A5113535557	OPENALEX	A5113535557	doi:10.1371/journal.pone.0200966
person:openalex:A5114202758	OPENALEX	A5114202758	doi:10.1007/s11136-025-03917-y
person:openalex:A5114345756	OPENALEX	A5114345756	doi:10.1007/s11136-026-04226-8
person:openalex:A5117455132	OPENALEX	A5117455132	doi:10.3389/ijph.2026.1608807
person:openalex:A5117715736	OPENALEX	A5117715736	doi:10.3390/curroncol32060308
person:openalex:A5117785012	OPENALEX	A5117785012	doi:10.1007/s11136-025-03996-x
person:openalex:A5117785013	OPENALEX	A5117785013	doi:10.1007/s11136-025-03996-x
person:openalex:A5118390306	OPENALEX	A5118390306	doi:10.1136/bmjopen-2025-102509
person:openalex:A5119599136	OPENALEX	A5119599136	doi:10.1007/s10198-025-01812-4
person:openalex:A5122353169	OPENALEX	A5122353169	doi:10.1007/s11136-025-04150-3
person:openalex:A5122380022	OPENALEX	A5122380022	doi:10.1007/s11136-025-04150-3
person:openalex:A5122382176	OPENALEX	A5122382176	doi:10.1007/s11136-025-04150-3
person:openalex:A5122911844	OPENALEX	A5122911844	doi:10.1007/s11136-025-04145-0
person:openalex:A5123867361	OPENALEX	A5123867361	doi:10.1007/s11136-026-04223-x
person:openalex:A5124253158	OPENALEX	A5124253158	doi:10.1007/s11136-026-04223-x
person:openalex:A5125700763	OPENALEX	A5125700763	doi:10.1186/s41687-025-00985-z
person:openalex:A5125757955	OPENALEX	A5125757955	doi:10.1186/s41687-025-00985-z
person:openalex:A5129360275	OPENALEX	A5129360275	doi:10.1186/s12955-026-02521-z
person:openalex:A5130219809	OPENALEX	A5130219809	doi:10.1097/mlr.0000000000002315
person:openalex:A5132638343	OPENALEX	A5132638343	doi:10.1007/s11136-026-04285-x
person:openalex:A5132705166	OPENALEX	A5132705166	doi:10.1007/s11136-026-04230-y
person:openalex:A5138142464	OPENALEX	A5138142464	doi:10.1007/s11136-026-04285-x
person:orcid:0000-0001-5091-3180	OPENALEX	A5046364454	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5091-3180	ORCID	0000-0001-5091-3180	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5099-3483	OPENALEX	A5005876438	doi:10.1186/s12955-024-02290-7
person:orcid:0000-0001-5099-3483	ORCID	0000-0001-5099-3483	doi:10.1186/s12955-024-02290-7
person:orcid:0000-0001-5126-9104	OPENALEX	A5014483970	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5126-9104	ORCID	0000-0001-5126-9104	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5193-918x	OPENALEX	A5122377113	doi:10.1007/s11136-025-04150-3
person:orcid:0000-0001-5193-918x	ORCID	0000-0001-5193-918x	doi:10.1007/s11136-025-04150-3
person:orcid:0000-0001-5307-0692	OPENALEX	A5117554996	doi:10.1007/s11136-026-04223-x
person:orcid:0000-0001-5307-0692	ORCID	0000-0001-5307-0692	doi:10.1007/s11136-026-04223-x
person:orcid:0000-0001-5374-5100	OPENALEX	A5111744360	doi:10.1007/s40258-023-00798-5
person:orcid:0000-0001-5374-5100	ORCID	0000-0001-5374-5100	doi:10.1007/s40258-023-00798-5
person:orcid:0000-0001-5396-0265	OPENALEX	A5070819422	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-5396-0265	ORCID	0000-0001-5396-0265	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-5416-042x	OPENALEX	A5079118485	doi:10.1007/s11136-019-02156-2
person:orcid:0000-0001-5416-042x	ORCID	0000-0001-5416-042x	doi:10.1007/s11136-019-02156-2
person:orcid:0000-0001-5430-9810	OPENALEX	A5002846176	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5430-9810	ORCID	0000-0001-5430-9810	doi:10.1371/journal.pone.0200966
person:orcid:0000-0001-5541-5930	OPENALEX	A5086268973	doi:10.3390/curroncol32060308
person:orcid:0000-0001-5541-5930	ORCID	0000-0001-5541-5930	doi:10.3390/curroncol32060308
person:orcid:0000-0001-5559-2574	OPENALEX	A5101609487	doi:10.1007/s40273-025-01473-4
person:orcid:0000-0001-5559-2574	ORCID	0000-0001-5559-2574	doi:10.1007/s40273-025-01473-4
person:orcid:0000-0001-5823-7375	OPENALEX	A5003131836	doi:10.1186/s12955-020-01394-0
person:orcid:0000-0001-5823-7375	ORCID	0000-0001-5823-7375	doi:10.1186/s12955-020-01394-0
person:orcid:0000-0001-5913-0297	OPENALEX	A5035192108	doi:10.1136/bmjopen-2023-080985
person:orcid:0000-0001-5913-0297	ORCID	0000-0001-5913-0297	doi:10.1136/bmjopen-2023-080985
person:orcid:0000-0001-6121-5409	OPENALEX	A5081215319	doi:10.1007/s11136-026-04230-y
person:orcid:0000-0001-6121-5409	ORCID	0000-0001-6121-5409	doi:10.1007/s11136-026-04230-y
person:orcid:0000-0001-6159-2482	OPENALEX	A5022672409	doi:10.1007/s40273-021-01109-3
person:orcid:0000-0001-6159-2482	ORCID	0000-0001-6159-2482	doi:10.1007/s40273-021-01109-3
person:orcid:0000-0001-6174-5442	OPENALEX	A5037328125	doi:10.1007/s12311-024-01657-2
person:orcid:0000-0001-6174-5442	ORCID	0000-0001-6174-5442	doi:10.1007/s12311-024-01657-2
person:orcid:0000-0001-6241-0249	OPENALEX	A5021997891	doi:10.1007/s10198-018-0993-z
person:orcid:0000-0001-6241-0249	ORCID	0000-0001-6241-0249	doi:10.1007/s10198-018-0993-z
person:orcid:0000-0001-6404-1117	OPENALEX	A5091956404	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-6404-1117	ORCID	0000-0001-6404-1117	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-6489-171x	OPENALEX	A5054647242	doi:10.1186/s12955-023-02144-8
person:orcid:0000-0001-6489-171x	ORCID	0000-0001-6489-171x	doi:10.1186/s12955-023-02144-8
person:orcid:0000-0001-6534-1242	OPENALEX	A5044372933	doi:10.2196/27669
person:orcid:0000-0001-6534-1242	ORCID	0000-0001-6534-1242	doi:10.2196/27669
person:orcid:0000-0001-6610-3369	OPENALEX	A5109576149	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-6610-3369	ORCID	0000-0001-6610-3369	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-6638-421x	OPENALEX	A5073774833	doi:10.1007/s11136-026-04294-w
person:orcid:0000-0001-6638-421x	ORCID	0000-0001-6638-421x	doi:10.1007/s11136-026-04294-w
person:orcid:0000-0001-6660-5246	OPENALEX	A5079399532	doi:10.1371/journal.pone.0305983
person:orcid:0000-0001-6660-5246	ORCID	0000-0001-6660-5246	doi:10.1371/journal.pone.0305983
person:orcid:0000-0001-6699-6072	OPENALEX	A5108017545	doi:10.1186/s12955-021-01889-4
person:orcid:0000-0001-6699-6072	ORCID	0000-0001-6699-6072	doi:10.1186/s12955-021-01889-4
person:orcid:0000-0001-6712-5535	OPENALEX	A5039986019	doi:10.1007/s40273-025-01519-7
person:orcid:0000-0001-6712-5535	ORCID	0000-0001-6712-5535	doi:10.1007/s40273-025-01519-7
person:orcid:0000-0001-6780-0019	OPENALEX	A5001054264	doi:10.1007/s40273-015-0292-9
person:orcid:0000-0001-6780-0019	ORCID	0000-0001-6780-0019	doi:10.1007/s40273-015-0292-9
person:orcid:0000-0001-6783-0023	OPENALEX	A5001433251	doi:10.1007/s40273-019-00876-4
person:orcid:0000-0001-6783-0023	ORCID	0000-0001-6783-0023	doi:10.1007/s40273-019-00876-4
person:orcid:0000-0001-6962-0564	OPENALEX	A5065576118	doi:10.1007/s11136-020-02469-7
person:orcid:0000-0001-6962-0564	ORCID	0000-0001-6962-0564	doi:10.1007/s11136-020-02469-7
person:orcid:0000-0001-6983-0166	OPENALEX	A5039674186	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-6983-0166	ORCID	0000-0001-6983-0166	doi:10.1007/s11136-025-03996-x
person:orcid:0000-0001-7058-5102	OPENALEX	A5002493085	doi:10.1213/ane.0000000000007107
person:orcid:0000-0001-7058-5102	ORCID	0000-0001-7058-5102	doi:10.1213/ane.0000000000007107
person:orcid:0000-0001-7147-2222	OPENALEX	A5016809145	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-7147-2222	ORCID	0000-0001-7147-2222	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-7161-6767	OPENALEX	A5003468874	doi:10.1007/s10198-024-01719-6
person:orcid:0000-0001-7161-6767	ORCID	0000-0001-7161-6767	doi:10.1007/s10198-024-01719-6
person:orcid:0000-0001-7335-4852	OPENALEX	A5079589572	doi:10.1007/s40273-025-01509-9
person:orcid:0000-0001-7335-4852	ORCID	0000-0001-7335-4852	doi:10.1007/s40273-025-01509-9
person:orcid:0000-0001-7458-6460	OPENALEX	A5004621550	doi:10.1007/s11136-020-02712-1
person:orcid:0000-0001-7458-6460	ORCID	0000-0001-7458-6460	doi:10.1007/s11136-020-02712-1
person:orcid:0000-0001-7470-528x	OPENALEX	A5020538411	doi:10.1371/journal.pone.0305983
person:orcid:0000-0001-7470-528x	ORCID	0000-0001-7470-528x	doi:10.1371/journal.pone.0305983
person:orcid:0000-0001-7472-2039	OPENALEX	A5092392626	doi:10.1007/s40273-025-01550-8
person:orcid:0000-0001-7472-2039	ORCID	0000-0001-7472-2039	doi:10.1007/s40273-025-01550-8
person:orcid:0000-0001-7536-8481	OPENALEX	A5015626145	doi:10.1186/s12955-023-02177-z
person:orcid:0000-0001-7536-8481	ORCID	0000-0001-7536-8481	doi:10.1186/s12955-023-02177-z
person:orcid:0000-0001-7548-1775	OPENALEX	A5067948587	doi:10.3389/fepid.2023.1144162
person:orcid:0000-0001-7548-1775	ORCID	0000-0001-7548-1775	doi:10.3389/fepid.2023.1144162
person:orcid:0000-0001-7644-8088	OPENALEX	A5056854306	doi:10.3961/jpmph.22.151
person:orcid:0000-0001-7644-8088	ORCID	0000-0001-7644-8088	doi:10.3961/jpmph.22.151
person:orcid:0000-0001-7928-1260	OPENALEX	A5102780130	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-7928-1260	ORCID	0000-0001-7928-1260	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-8076-9626	OPENALEX	A5020157030	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-8076-9626	ORCID	0000-0001-8076-9626	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-8144-6220	OPENALEX	A5043629216	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-8144-6220	ORCID	0000-0001-8144-6220	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-8574-8429	OPENALEX	A5000940073	doi:10.1186/s12955-023-02144-8
person:orcid:0000-0001-8574-8429	ORCID	0000-0001-8574-8429	doi:10.1186/s12955-023-02144-8
person:orcid:0000-0001-8685-3212	OPENALEX	A5082999537	doi:10.1097/mlr.0000000000002315
person:orcid:0000-0001-8685-3212	ORCID	0000-0001-8685-3212	doi:10.1097/mlr.0000000000002315
person:orcid:0000-0001-8771-6578	OPENALEX	A5088184178	doi:10.1007/s40273-025-01473-4
person:orcid:0000-0001-8771-6578	ORCID	0000-0001-8771-6578	doi:10.1007/s40273-025-01473-4
person:orcid:0000-0001-8778-5055	OPENALEX	A5059117288	doi:10.1007/s40271-022-00573-z
person:orcid:0000-0001-8778-5055	ORCID	0000-0001-8778-5055	doi:10.1007/s40271-022-00573-z
person:orcid:0000-0001-9005-9185	OPENALEX	A5015764426	doi:10.1186/s12955-020-01404-1
person:orcid:0000-0001-9005-9185	ORCID	0000-0001-9005-9185	doi:10.1186/s12955-020-01404-1
person:orcid:0000-0001-9071-2842	OPENALEX	A5079445531	doi:10.1007/s10198-021-01306-z
person:orcid:0000-0001-9071-2842	ORCID	0000-0001-9071-2842	doi:10.1007/s10198-021-01306-z
person:orcid:0000-0001-9074-7359	OPENALEX	A5009099235	doi:10.1016/j.pecinn.2025.100421
person:orcid:0000-0001-9074-7359	ORCID	0000-0001-9074-7359	doi:10.1016/j.pecinn.2025.100421
person:orcid:0000-0001-9125-1697	OPENALEX	A5112390873	doi:10.1371/journal.pone.0190111
person:orcid:0000-0001-9125-1697	ORCID	0000-0001-9125-1697	doi:10.1371/journal.pone.0190111
person:orcid:0000-0001-9364-5788	OPENALEX	A5037182915	doi:10.1136/bmjopen-2024-097598
person:orcid:0000-0001-9364-5788	ORCID	0000-0001-9364-5788	doi:10.1136/bmjopen-2024-097598
person:orcid:0000-0001-9502-4678	OPENALEX	A5049552804	doi:10.1007/s40273-021-01100-y
person:orcid:0000-0001-9502-4678	ORCID	0000-0001-9502-4678	doi:10.1007/s40273-021-01100-y
person:orcid:0000-0001-9558-304x	OPENALEX	A5027996110	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-9558-304x	ORCID	0000-0001-9558-304x	doi:10.1007/s40273-022-01216-9
person:orcid:0000-0001-9571-576x	OPENALEX	A5048316196	doi:10.3389/fpubh.2021.744405
person:orcid:0000-0001-9571-576x	ORCID	0000-0001-9571-576x	doi:10.3389/fpubh.2021.744405
person:orcid:0000-0001-9610-8507	OPENALEX	A5025677569	doi:10.1007/s11136-025-03930-1
person:orcid:0000-0001-9610-8507	ORCID	0000-0001-9610-8507	doi:10.1007/s11136-025-03930-1
person:orcid:0000-0001-9749-1747	OPENALEX	A5007375599	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-9749-1747	ORCID	0000-0001-9749-1747	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0001-9784-6472	OPENALEX	A5100318622	doi:10.1007/s10198-024-01682-2
person:orcid:0000-0001-9784-6472	ORCID	0000-0001-9784-6472	doi:10.1007/s10198-024-01682-2
person:orcid:0000-0001-9937-4149	OPENALEX	A5003942201	doi:10.1186/s12955-024-02290-7
person:orcid:0000-0001-9937-4149	ORCID	0000-0001-9937-4149	doi:10.1186/s12955-024-02290-7
person:orcid:0000-0001-9949-9224	OPENALEX	A5066116202	doi:10.3961/jpmph.22.151
person:orcid:0000-0001-9949-9224	ORCID	0000-0001-9949-9224	doi:10.3961/jpmph.22.151
person:orcid:0000-0001-9970-3045	OPENALEX	A5055015672	doi:10.1016/j.jval.2021.03.019
person:orcid:0000-0001-9970-3045	ORCID	0000-0001-9970-3045	doi:10.1016/j.jval.2021.03.019
person:orcid:0000-0002-0109-3283	OPENALEX	A5079763600	doi:10.1007/s11136-021-03069-9
person:orcid:0000-0002-0109-3283	ORCID	0000-0002-0109-3283	doi:10.1007/s11136-021-03069-9
person:orcid:0000-0002-0113-6917	OPENALEX	A5023025376	doi:10.1007/s40273-025-01476-1
person:orcid:0000-0002-0113-6917	ORCID	0000-0002-0113-6917	doi:10.1007/s40273-025-01476-1
person:orcid:0000-0002-0115-9596	OPENALEX	A5078816855	doi:10.1186/s41687-020-00247-0
person:orcid:0000-0002-0115-9596	ORCID	0000-0002-0115-9596	doi:10.1186/s41687-020-00247-0
person:orcid:0000-0002-0122-0123	OPENALEX	A5023707610	doi:10.1007/s11136-026-04230-y
person:orcid:0000-0002-0122-0123	ORCID	0000-0002-0122-0123	doi:10.1007/s11136-026-04230-y
person:orcid:0000-0002-0138-9252	OPENALEX	A5004062547	doi:10.3390/ijerph19138208
person:orcid:0000-0002-0138-9252	ORCID	0000-0002-0138-9252	doi:10.3390/ijerph19138208
person:orcid:0000-0002-0177-0192	OPENALEX	A5005167530	doi:10.1007/s11136-021-03075-x
person:orcid:0000-0002-0177-0192	ORCID	0000-0002-0177-0192	doi:10.1007/s11136-021-03075-x
person:orcid:0000-0002-0178-7007	OPENALEX	A5100628332	doi:10.1136/bmjopen-2025-102509
person:orcid:0000-0002-0178-7007	ORCID	0000-0002-0178-7007	doi:10.1136/bmjopen-2025-102509
person:orcid:0000-0002-0245-9849	OPENALEX	A5083810753	doi:10.1007/s40258-022-00772-7
person:orcid:0000-0002-0245-9849	ORCID	0000-0002-0245-9849	doi:10.1007/s40258-022-00772-7
person:orcid:0000-0002-0273-824x	OPENALEX	A5075329771	doi:10.3390/cancers16111952
person:orcid:0000-0002-0273-824x	ORCID	0000-0002-0273-824x	doi:10.3390/cancers16111952
person:orcid:0000-0002-0360-3427	OPENALEX	A5037956429	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0002-0360-3427	ORCID	0000-0002-0360-3427	doi:10.5492/wjccm.v11.i4.236
person:orcid:0000-0002-0377-3389	OPENALEX	A5055643997	doi:10.3389/fpsyg.2023.1175402
person:orcid:0000-0002-0377-3389	ORCID	0000-0002-0377-3389	doi:10.3389/fpsyg.2023.1175402
person:orcid:0000-0002-0412-4276	OPENALEX	A5033508635	doi:10.1007/s40273-018-0694-6
person:orcid:0000-0002-0412-4276	ORCID	0000-0002-0412-4276	doi:10.1007/s40273-018-0694-6
person:orcid:0000-0002-0457-2175	OPENALEX	A5069767747	doi:10.1186/s12955-022-02083-w
