record_id,title,production_batch,production_outcome,production_code,production_reason,audit_batch,audit_outcome,audit_code,audit_reason,outcome_agreement
P4271639c4273,Urinary Incontinence Medications: Patient-Initiated Concerns in Primary Care,batch-0107,exclude,E4,"[E4] This record describes patient concerns about urinary-incontinence medication prescribing, not a measurement instrument or valuation method.",batch-0005,exclude,E4,[E4] The study describes patient concerns about urinary-incontinence medicines and does not evaluate a health measure.,true
P58076867c137,Assessment of an Interactive Digital Health–Based Self-management Program to Reduce Hospitalizations Among Patients With Multiple Chronic Diseases,batch-0298,exclude,E1,[E1] Clinical trial evaluates a self-management program; quality of life is only a secondary outcome.,batch-0005,exclude,E1,[E1] Quality of life is a secondary clinical outcome in a trial of a digital chronic-disease management intervention.,true
P931f521df456,"The Association of Rheumatologist Supply and Multidisciplinary Care With Timely Patient Access to Rheumatologists: Evidence From British Columbia, Canada",batch-0186,exclude,E4,[E4] Evaluates access to rheumatology services and treatment timing rather than health measurement or valuation.,batch-0005,exclude,E4,"[E4] The study evaluates access times and service supply in rheumatology care, not health measurement or valuation.",true
Pcccdb7744deb,Long-term health-related quality of life in patients with ruptured arteriovenous malformations treated in childhood,batch-0264,exclude,E1,[E1] The 15D instrument is an outcome used to describe long-term clinical consequences of childhood AVM.,batch-0005,exclude,E1,[E1] The 15D is used to report long-term quality-of-life outcomes after childhood arteriovenous malformation.,true
P8cd861528f6c,Concordance between 8-1-1 HealthLink BC Emergency iDoctor-in-assistance (HEiDi) virtual physician advice and subsequent health service utilization for callers to a nurse-managed provincial health information telephone service,batch-0184,exclude,E4,"[E4] This service-use study assesses concordance with virtual physician advice, not a health measurement instrument or valuation method.",batch-0005,exclude,E4,[E4] The study compares virtual-physician advice with later service use and does not study health measurement.,true
Pb59643240712,Health-related quality of life one year after refractory cardiac arrest treated with conventional or extracorporeal CPR; a secondary analysis of the INCEPTION-trial,batch-0132,exclude,E1,[E1] EQ-5D-5L is used as an outcome in a clinical comparison of CPR strategies after cardiac arrest.,batch-0005,exclude,E1,[E1] EQ-5D-5L is used to compare quality-of-life outcomes of two resuscitation strategies after cardiac arrest.,true
Pcd0da3956cfa,Compensation Claims in Danish Emergency Care: Identifying Hot Spots and Blind Spots in the Quality of Care,batch-0264,exclude,E4,[E4] This analyzes emergency-care compensation claims with HCAT to identify quality and safety problems.,batch-0005,exclude,E4,"[E4] A validated complaints-analysis tool is used to identify emergency-care quality problems, not evaluated as a health measure.",true
P8db138ae7287,Intervention overuse in paediatric care in Australian metropolitan general practice,batch-0062,exclude,E4,"[E4] The study assesses low-value pediatric interventions and associated costs in general practice, not a health measurement or valuation method.",batch-0005,exclude,E5,[E5] The supplied text ends after background and aims and is an incomplete abstract without methods or results.,true
P17ff6529c08a,Consolidated Health Economic Evaluation Reporting Standards (CHEERS) 2022 Explanation and Elaboration: A Report of the ISPOR CHEERS II Good Practices Task Force,batch-0216,exclude,E4,[E4] Explains reporting standards for health economic evaluations rather than studying health measurement or health-state valuation.,batch-0005,exclude,E4,"[E4] CHEERS provides reporting standards for health economic evaluations, not health measurement or health-state valuation.",true
Pe47b2987967d,Evaluating efficiency and equity of prevention and control strategies for rheumatic fever and rheumatic heart disease in India: an extended cost-effectiveness analysis,batch-0204,exclude,E2,[E2] This Markov cost-effectiveness analysis uses quality of life and QALYs to compare rheumatic-disease prevention strategies.,batch-0005,exclude,E2,[E2] QALYs and quality of life are inputs and outcomes in an extended cost-effectiveness model of prevention strategies.,true
Pc621a892a765,A micro-costing study of mass-spectrometry based quantitative proteomics testing applied to the diagnostic pipeline of mitochondrial and other rare disorders,batch-0137,exclude,E4,[E4] This micro-costing analysis estimates delivery costs of proteomics testing rather than evaluating a health measure or valuation method.,batch-0005,exclude,E4,[E4] The micro-costing study estimates the delivery cost of proteomics testing and does not study health measurement.,true
P4322a2ea9dd4,116 Expert Agreement on definitions for compensatory protective step strategies: Delphi method study,batch-0107,exclude,E5,[E5] The supplied record is a numbered conference abstract rather than an eligible journal article abstract.,batch-0005,exclude,E5,"[E5] The numbered, funding-tagged record is a conference abstract, an ineligible publication format.",true
P55eba2713984,New Horizons? Assessing General Public Preferences for a Wellbeing Economy in the Post-COVID-19 World.,batch-0047,exclude,E3,"[E3] The ranking exercise elicits public preferences for wellbeing-economy policy principles, not health-state valuation.",batch-0005,exclude,E3,"[E3] The ranking task elicits public preferences for economic and policy principles, not health-state valuation.",true
P973e628a1874,The impact of depression and physical multimorbidity on health-related quality of life in China: a national longitudinal quantile regression study.,batch-0250,exclude,E1,[E1] Proxy SF-36 health-related quality-of-life scores are outcomes for estimating the impact of depression and multimorbidity.,batch-0005,exclude,E1,[E1] Proxy SF-36 scores are outcomes used to estimate effects of depression and multimorbidity on quality of life.,true
Pcda1b48db064,Randomised trial of stable chest pain investigation: 3-year clinical and quality of life results from CE-MARC 2,batch-0199,exclude,E1,"[E1] EuroQol-5D is a quality-of-life outcome in a chest-pain diagnostic-strategy trial, not the primary research object.",batch-0005,exclude,E1,[E1] EuroQol and other quality-of-life measures are outcomes in a trial comparing chest-pain investigation strategies.,true
