name,raw_names,is_project_leader,is_member,n_projects,project_ids,member_id,member_affiliation,member_profile_url,possible_same_person
Mina Bahrampour,Mina Bahrampour,1,1,3,2075-EOI;2416-BT;466-RA,19032,University of Technology Sydney,https://euroqol.org/about-us/our-members/member-detail/?memberid=19032,
Minghui Li,Minghui Li,1,1,2,2016580;20180620,17942,University of Tennessee,https://euroqol.org/about-us/our-members/member-detail/?memberid=17942,
Minh Pham,Minh Pham,1,0,3,1970-RA;2136-TVG;2305-BT,,,,
Nadine Zawadzkli,Nadine Zawadzkli,1,0,1,140-RA,,,,
Nan Luo,Luo Nan;Nan LUO;Nan Luo,1,1,55,128-RA;1504-RA;1505-RA;1517-RA;1522-RA;1535-RA;1599-RA;1608-RA;1738-TVG;1741-RA;180-RA;1818-RA;188-RA;2012060;2014100;2015220;2015410;2016010;2016070;2016130;2016230;2016290;2016310;2016600;20170330;20170430;20170450;20170460;20170640;20180060;20180160;20180250;20180270;20180600;2019-EO;20190010;20190600;20190820;20190830;2120-RA;2176-RA;2222-EO;232-RA;2362-BT;2418-BT;2451-RA;2455-PHD;274-RA;320-VS;321-VS;364-RA;402-RA;439-PHD;69-RA;76-RA,17944,National University of Singapore,https://euroqol.org/about-us/our-members/member-detail/?memberid=17944,
Nancy Devlin,Nancy Devlin,1,1,21,1404-RA;1497-RA;2012050;2013040;2014020;2014170;2015060;2015100;2016320;2016570;2016571;2016630;2016631;20170010;20180210;20180650;20190220;202-RA;2274-TVG;370-RA;399-RA,17946,University of Melbourne,https://euroqol.org/about-us/our-members/member-detail/?memberid=17946,
Narcis Gusi,Narcis Gusi,1,1,2,20170290;355-RA,17948,University of Extremadura (Spain),https://euroqol.org/about-us/our-members/member-detail/?memberid=17948,
Nicholas Smeele,Nicholas Smeele,1,0,1,2320-TR,,,,
Nick Bansback,Nick Bansback,1,1,7,1624-EO;1880-TVG;2013290;2015040;2016030;20190470;2133-TVG,17952,School of Population and Public Health,https://euroqol.org/about-us/our-members/member-detail/?memberid=17952,
Nils Gutacker,Nils Gutacker,1,1,8,123-RA;1479-TVG;1925-TVG;2016450;20190910;2192-RA;2415-TVG;2653-TVG,17954,"Centre for Health Economics, University of York",https://euroqol.org/about-us/our-members/member-detail/?memberid=17954,
Ning Yan Gu,Ning Yan Gu,1,1,4,246-RA;358-RA;409-RA;84-RA,17956,University of San Francisco,https://euroqol.org/about-us/our-members/member-detail/?memberid=17956,
Norma Bulamu,Dr Norma Bulamu;Norma Bulamu,1,0,1,2205-RA,,,,
Nyantara Wickramasekera,Nyantara Wickramasekera,1,0,1,2102-RA,,,,
Ole Marten,Ole Marten,1,1,3,1951-RA;2024-RA;2623-RA,17958,Bielefeld University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17958,
Oliver Rivero-Arias,Oliver Rivero-Arias,1,1,3,20180240;2021-RA;206-RA,17960,University of Oxford,https://euroqol.org/about-us/our-members/member-detail/?memberid=17960,
Oriana Ciani,Oriana Ciani,1,0,1,316-EO,,,,
Patricia Cubi-Molla,Patricia Cubi-Molla,1,0,2,2016460;20180190,,,,
Paul Kind,Paul Kind,1,1,13,1583-RA;1786-RA;2009018;2010011;2014120;2014220;2015350;2015420;2016050;2016200;20191040;20191050;78-RA,17962,"Health Economics Policy Lab (HEPL), University College London",https://euroqol.org/about-us/our-members/member-detail/?memberid=17962,
Paul Krabbe,Paul Krabbe,1,1,1,2014150,17964,University Medical Center Groningen,https://euroqol.org/about-us/our-members/member-detail/?memberid=17964,
Paul Schneider,Paul Schneider,1,0,3,1508-RA;1596-RA;2582-SG,,,,
Paula Lorgelly,Paula Lorgelly,1,1,8,1573-RA;1655-EO;1680-RA;1881-RA;20191030;2053-EO;2443-BT;291-RA,17966,University of Auckland | Waipapa Taumata Rau,https://euroqol.org/about-us/our-members/member-detail/?memberid=17966,
Pedro Ferreira,Pedro Ferreira,1,0,1,2015110,,,,
Peep Stalmeier,Peep FM Stalmeier;Peep Stalmeier,1,1,4,115-RA;1487-RA;2013010;2015150,17968,Radboudumc,https://euroqol.org/about-us/our-members/member-detail/?memberid=17968,
pei wang,Pei wang;pei wang,1,0,4,1863-RA;20170530;2454-RA;401-RA,,,,
Philip Clarke,Philip Clarke;Professor Philip Clarke,1,0,3,118-RA;1415-RA;310-RA,,,,
Philip Powell,Philip Powell,1,0,3,1711-RA;1877-RA;307-RA,,,,
Piyameth Dilokthornsakul,Piyameth Dilokthornsakul,1,0,1,1982-VS,,,,
Priyanka Banik,Priyanka Banik,1,0,1,2530-RA,,,,
Prudence Cheung,Prudence Cheung,1,0,1,1808-RA,,,,
Rachel Tan,Rachel Tan,0,1,0,,18648,IQVIA,https://euroqol.org/about-us/our-members/member-detail/?memberid=18648,
Raf Van Gestel,Raf Van Gestel,1,0,1,1672-SG,,,,
Rainer Reile,Rainer Reile,1,0,4,1960-RA;1987-SG;2569-RA;2621-VS,,,,
Rebecca Addo,Rebecca Addo,1,0,1,1899-RA,,,,
Richard Brooks,Richard Brooks,0,1,0,,17973,Retirement Association,https://euroqol.org/about-us/our-members/member-detail/?memberid=17973,
Richard Norman,Richard Norman,1,1,6,1578-RA;2015310;2016250;20170410;20170560;83-VS,17974,Curtin University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17974,
Richard Xu,Ricahrd Xu;Richard Huan XU;Richard Huan Xu;Richard Xu,1,1,12,1495-RA;1549-RA;1804-RA;1897-RA;2181-RA;2183-RA;2184-RA;2351-BT;2375-RA;2409-RA;444-RA;85-RA,21678,The Hong Kong Polytechnic University,https://euroqol.org/about-us/our-members/member-detail/?memberid=21678,
Rini Noviyani,Rini Noviyani,1,0,1,2598-RA,,,,
Rosalie Viney,Rosalie Viney,1,1,3,148-RA;2015360;2016280,17976,University of Technology Sydney,https://euroqol.org/about-us/our-members/member-detail/?memberid=17976,
Rosalind de Charro,Rosalind de Charro,0,1,0,,17978,,https://euroqol.org/about-us/our-members/member-detail/?memberid=17978,
Ruixuan Jiang,Ruixuan Jiang,0,1,0,,17980,"Merck & Co., Inc.,",https://euroqol.org/about-us/our-members/member-detail/?memberid=17980,
Samar Farid,"Samar Farid;Samar Farid, Ph.D.",1,0,11,1492-RA;1594-RA;20180130;2063-RA;2145-RA;2341-RA;2402-BT;2492-RA;2522-EO;335-RA;338-EO,,,,
Sander van Kuijk,Sander van Kuijk,1,0,3,1569-RA;1983-PHD;2368-RA,,,,
Sandjar Djalalov,Sandjar Djalalov,1,0,1,59-VS,,,,
Sarah Derrett,Sarah Derrett,1,1,5,1543-RA;1812-PHD;2014190;2015170;2229-TR,17982,University of Otago,https://euroqol.org/about-us/our-members/member-detail/?memberid=17982,
Sarah Dewilde,Dewilde Sarah;Sarah Dewilde,1,1,5,124-VS;1601-RA;20180640;20180641;2167-RA,17984,SHE,https://euroqol.org/about-us/our-members/member-detail/?memberid=17984,
Sarega Gurudas,Sarega Gurudas,1,0,1,2139-RA,,,,
Sayem Ahmed,Sayem Ahmed,1,0,1,2202-VS,,,,
Sesil Lim,Sesil Lim,1,0,1,20180420,,,,
Seungjin Bae,Seungjin Bae,1,0,1,2510-VS,,,,
Shankar Prinja,Shankar Prinja,1,0,3,20170520;2033-RA;2220-VS,,,,
Shitong Xie,Shitong Xie,1,0,2,2209-RA;2211-RA,,,,
Shunya Ikeda,Shunya Ikeda,1,0,2,2013140;2014040,,,,
Simon Pickard,Simon Pickard,1,1,10,2014130;2015190;2016090;2016210;2016470;20180080;20180520;20190360;20190410;20190800,17988,University of Illinois - Chicago,https://euroqol.org/about-us/our-members/member-detail/?memberid=17988,
Simone Schieskow,Simone Schieskow;Simone Schieskow (née Kreimeier),1,1,1,20180450,17990,"Bielefeld University, School of Public Health, Department of Health Economics and Health Care Management",https://euroqol.org/about-us/our-members/member-detail/?memberid=17990,
Sofia Vallejo,Sofia Vallejo,1,0,1,2517-RA,,,,
Soumana Chamoun Nasser,Soumana Chamoun Nasser,1,0,1,2585-RA,,,,
Stefan Lipman,Stefan A. Lipman;Stefan Lipman,1,1,11,120-RA;1783-RA;1992-RA;20190080R1;20190860;20190890;205-RA;2404-RA;245-RA;416-RA;417-RA,17992,"Erasmus School of Health Policy & Management (ESHPM), Erasmus University Rotterdam",https://euroqol.org/about-us/our-members/member-detail/?memberid=17992,
Stella Heemskerk,Stella Heemskerk,1,0,1,2638-RA,,,,
Stephen Coons,Stephen Coons,1,0,1,2014180,,,,
Stevanus Pangestu,Stevanus Pangestu,1,0,4,1883-RA;2003-RA;2323-RA;2500-RA,,,,
Stirling Bryan,Stirling Bryan,1,1,2,164-RA;1787-RA,17994,University of British Columbia,https://euroqol.org/about-us/our-members/member-detail/?memberid=17994,
Sun Sun,Sun Sun,1,1,1,1561-RA,17996,Parexel/Umeå University,https://euroqol.org/about-us/our-members/member-detail/?memberid=17996,
Suzana Karim,Suzana Karim,1,0,3,138-RA;139-RA;20190230R1,,,,
Taavi Lai,Taavi Lai,1,0,1,2602-SG,,,,
Takeru Shiroiwa,Takeru Shiroiwa,1,0,2,20180280;2098-RA,,,,
Teresa Bago d'Uva,Teresa Bago d'Uva,1,0,1,1463-PHD,,,,
Teresa Tsui,Teresa Tsui,1,0,1,1456-PD,,,,
Tessa Peasgood,Peasgood;Tessa Peasgood,1,1,12,1823-RA;1916-RA;20180350;20190260;2207-RA;224-RA;2366-EO;2470-RA;2488-TVG;2493-RA;282-RA;348-PHD,17998,University of Sheffield,https://euroqol.org/about-us/our-members/member-detail/?memberid=17998,
Thao Thai,Thao Thai,1,0,3,1797-RA;1887-RA;1896-RA,,,,
thomas kohlmann,Thomas Kohlmann;thomas kohlmann,1,1,1,20170130,18000,University of Greifswald,https://euroqol.org/about-us/our-members/member-detail/?memberid=18000,
Tianxin Pan,Tianxin Pan,1,1,5,1472-PD;2284-BT;233-RA;2347-RA;428-RA,18002,,https://euroqol.org/about-us/our-members/member-detail/?memberid=18002,
Tie Parma Yamato,Tie Parma Yamato,1,0,2,218-RA;220-VS,,,,
Titi Fitriana,Titi Fitriana,1,0,3,20180490;20200010;2444-RA,,,,
Tomos Robinson,Tomos Robinson,1,0,1,2196-RA,,,,
Trudy Sullivan,Trudy Sullivan,1,1,2,20180470;441-RA,18004,University of Otago,https://euroqol.org/about-us/our-members/member-detail/?memberid=18004,
Ulrike Ravens-Sieberer,Ulrike Ravens-Sieberer;Ulrike Ravens-Sieberer Ravens-Sieberer,1,1,1,2016270,21548,University Medical Center Hamburg-Eppendorf,https://euroqol.org/about-us/our-members/member-detail/?memberid=21548,
Valentina Prevolnik Rupel,Valentina Prevolnik Rupel;Valentina Rupel,1,1,5,1687-RA;2013160;2013210;20170280;377-VS,18006,Institute for Economic Research,https://euroqol.org/about-us/our-members/member-detail/?memberid=18006,
victor zarate,Victor Zarate;victor zarate,1,1,6,2015370;2016380;2016390;20170470;20170630;462-RA,18008,MSD,https://euroqol.org/about-us/our-members/member-detail/?memberid=18008,
Vincent Lau,Vincent Lau,1,0,1,299-RA,,,,
Vivian Reckers-Droog,Vivian Reckers - Droog;Vivian Reckers-Droog,1,0,3,1462-PHD;20190920;2154-RA,,,,
Wenjing Zhou,Wenjing Zhou,1,0,4,1654-TVG;1742-EO;1874-TVG;2152-RA,,,,
Willem van Veghel,"W.H.P. (Willem) van Veghel, MSc;Willem van Veghel",1,0,1,1584-SG,,,,
Wojciech Trzebiński,Wojciech Trzebiński,1,0,2,1698-RA;2343-RA,,,,
Wolfgang Greiner,Prof. Dr. Wolfgang Greiner;Wolfgang Greiner,1,1,12,1603-RA;2012020;2013200;2014030;2014160;2015200;2016530;20170020;20180010;20180260;20180510;2433-RA,18010,Bielefeld University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18010,
Xin Zhang,Xin Zhang,1,0,2,1972-RA;2649-EO,,,,
Xuejing Jin,Xuejing (Jennifer) Jin;Xuejing Jin,1,1,2,217-EO;318-RA,18012,Beijing University of Chinese Medicine,https://euroqol.org/about-us/our-members/member-detail/?memberid=18012,
yaling Yang,Yaling Yang;Yaling yang;yaling Yang,1,1,3,1807-RA;2130-PHD;2172-RA,18014,Oxford University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18014,
Yan Feng,Yan Feng,1,1,5,1650-RA;2015090;2015330;2016330;20180740,18016,Queen Mary University of London,https://euroqol.org/about-us/our-members/member-detail/?memberid=18016,
Yap Xin Yi,Yap Xin Yi,1,0,1,2290-EO,,,,
Yared Belete Belay,Yared Belete Belay,1,0,5,1846-EO;229-RA;323-RA;327-RA;79-RA,,,,
Yifan Ding,Yifan Ding,1,0,1,2188-TVG,,,,
Yirga Legesse Niriayo,Yirga Legesse Niriayo,1,0,1,2563-RA,,,,
Yiting Luo,Yiting Luo,1,0,3,1867-RA;2036-RA;2458-RA,,,,
You-Shan Feng,"You-Shan Feng;You-Shan Feng, PhD",1,1,11,127-RA;1593-RA;1600-RA;1898-RA;1901-RA;1902-RA;2200-RA;2312-BT;2373-RA;2544-RA;329-RA,18018,"Medical University Tübingen, Germany",https://euroqol.org/about-us/our-members/member-detail/?memberid=18018,
Zhihao Yang,Zhihao Yang,1,1,22,1485-RA;1534-EO;1598-RA;1941-RA;20180070R1;20180230;20180610;20190150R1;20190151;20190370;20190900;20191020;215-2020RA;2180-RA;221-RA;2225-BT;2276-RA;2348-BT;353-RA;456-RA;75-EO;92-2020RA,18019,Guizhou Medical University,https://euroqol.org/about-us/our-members/member-detail/?memberid=18019,
Zhuxin Mao,Zhuxin Mao,1,1,8,103-RA;1580-RA;1588-RA;20190990;20191000;2084-RA;2422-RA;398-RA,18021,University of Antwerp,https://euroqol.org/about-us/our-members/member-detail/?memberid=18021,
