name,scale_status,next_action,review_reason,resolution_status,chosen_id,additional_profile_ids_held,chosen_name,orcid,affiliation,member_affiliation,total_works,eq_works,alternatives,project_ids,is_member,cached_profile_path
Yared Belete Belay,ready,use_cached_profile,,ok,A5086002810,,Yared Belete Belay,0000-0001-5473-3857,Monash Health,,33,9,,1846-EO;229-RA;323-RA;327-RA;79-RA,0,artefacts/03_works/A5086002810.json
Arthur Attema,ready,use_cached_profile,,ok,A5082166488,,Arthur E. Attema,0000-0003-3607-6579,Erasmus University Rotterdam,,119,9,,1602-RA;236-RA;237-RA;435-RA,0,artefacts/03_works/A5082166488.json
Aureliano Finch,ready,use_cached_profile,,ok,A5055927783,A5101780892;A5128721368,Aureliano Paolo Finch,0000-0003-1438-321X,EuroQol Research Foundation,"EuroQol Office, EuroQol Research Foundation",47,37,A5101780892=Aureliano Paolo Finch(6 eq); A5132652328=Aureliano Finch(1 eq); A5128721368=Aureliano Finch(2 eq),122-RA;1927-RA;20170210;20190460,1,artefacts/03_works/A5055927783.json
Elske van den Akker-van Marle,ready,use_cached_profile,,ok,A5032469209,A5018584587,M. Elske van den Akker‐van Marle,0000-0002-5269-509X,Leiden University Medical Center,,209,27,A5018584587=Elske M van den Akker-van Marle(4 eq); A5098757921=M. Elske van den Akker – van Marle(1 eq),1447-RA;1792-SG;2408-RA;2420-BT,0,artefacts/03_works/A5032469209.json
Gisela Cristiane Miyamoto,ready,use_cached_profile,,ok,A5024629360,,Gisela Cristiane Miyamoto,0000-0002-6826-4278,Universidade Cidade de São Paulo,,61,11,A5140658737=Gisela Cristiane Miyamoto(1 eq),2308-VS;2410-RA;2468-RA;2482-EO,0,artefacts/03_works/A5024629360.json
Goitom Molalign Takele,ready,use_cached_profile,,ok,A5009462612,,Goitom Molalign Takele,0000-0002-9344-3390,Mekelle University,,8,2,,1735-RA;227-RA;317-RA;449-RA,0,artefacts/03_works/A5009462612.json
Jia Jia Lee,ready,use_cached_profile,,ok_via_works,A5050544932,A5066191705;A5083334093,Jia Jia Lee,0000-0001-7821-9131,,,,5,A5066191705=Beatrice Lee(2 eq); A5083334093=Kai Yi Lee(2 eq); A5100755625=Anna Lee(1 eq); A5037128541=Kyoung Suk Lee(1 eq); A5036716004=Huey-Er Lee(1 eq); A5014379458=Shaun Wen Huey Lee(1 eq); A5047279366=Rachel Lee-Yin Tan(1 eq); A5114057860=Yanni Jia(1 eq); A5072736104=Yung Seng Lee(1 eq); A5013850344=Nicole Kim Luan Lee(1 eq); A5077558407=P. Lee(1 eq); A5084226720=Misook L. Chung(1 eq); A5029678714=Eleena Shi Lynn Lee(1 eq); A5045869662=Chris Ban Loong Lee(1 eq); A5039183742=Shaun Qing Wei Lee(1 eq); A5086600809=Kheng Hock Lee(1 eq); A5014071868=Melanie Yee Lee Siaw(1 eq); A5044352202=Michelle Jia Xin Lee(1 eq); A5013704489=Joyce V. Lee(1 eq); A5115589358=Deborah Lee(1 eq); A5049216605=Sheldon Shao Guang Lee(1 eq); A5059757998=Kai Lee Woo(1 eq); A5050328284=Si Jia Lee(1 eq),1971-EO;2125-RA;2179-RA;2299-EO,0,artefacts/03_works/A5050544932.json
Katy Gallop,ready,use_cached_profile,,ok,A5091811569,,Katy Gallop,0000-0002-6826-3865,Lloyd's,,77,46,,1884-RA;2011-RA;2014-RA;2432-BT,0,artefacts/03_works/A5091811569.json
Kim Dalziel,ready,use_cached_profile,,ok,A5078953009,,Kim Dalziel,0000-0003-4972-8871,The University of Melbourne,,237,58,A5138004883=Kim Dalziel(1 eq),111-RA;2017-RA;330-PHD;361-RA,0,artefacts/03_works/A5078953009.json
Lan Gao,ready,use_cached_profile,,ok,A5043687438,,Lan Gao,0000-0001-9734-1140,Deakin University,,211,25,,1771-RA;198-RA;2141-RA;2363-BT,0,artefacts/03_works/A5043687438.json
Louise Longworth,ready,use_cached_profile,,ok,A5046647690,,Louise Longworth,0000-0003-2512-4862,Arrow International (United States),Arrow Health Economics,217,78,,2013190;2016300;20200020;2115-EOI,1,artefacts/03_works/A5046647690.json
Ning Yan Gu,ready,use_cached_profile,,ok,A5063972558,A5088843664,Ning Yan Gu,0000-0002-1250-7605,Exact Sciences (United States),University of San Francisco,84,28,A5088843664=Ning Yan Gu(3 eq),246-RA;358-RA;409-RA;84-RA,1,artefacts/03_works/A5063972558.json
Peep Stalmeier,ready,use_cached_profile,,ok,A5013523692,,Peep F. M. Stalmeier,0000-0002-7553-562X,Radboud University Nijmegen,Radboudumc,163,24,,115-RA;1487-RA;2013010;2015150,1,artefacts/03_works/A5013523692.json
Rainer Reile,ready,use_cached_profile,,ok,A5036883637,,Rainer Reile,0000-0001-9488-887X,National Institute for Health Development,,59,3,,1960-RA;1987-SG;2569-RA;2621-VS,0,artefacts/03_works/A5036883637.json
Stevanus Pangestu,ready,use_cached_profile,,ok,A5033743427,,Stevanus Pangestu,0000-0003-2546-9449,Corvinus University of Budapest,,36,11,A5143329800=Setiawan Stevanus Pangestu(1 eq),1883-RA;2003-RA;2323-RA;2500-RA,0,artefacts/03_works/A5033743427.json
Wenjing Zhou,ready,use_cached_profile,,ok_via_works,A5080372262,A5025879429;A5045524881,Wenjing Zhou,0000-0003-0770-4564,,,,7,A5025879429=Huifen Zhou(2 eq); A5045524881=Zhou Wenjing(2 eq); A5101270720=Wenjing Zhou(1 eq); A5102868531=Huifen Zhou(1 eq); A5100733635=Zhou Ying(1 eq); A5033264921=Sisi Zhou(1 eq),1654-TVG;1742-EO;1874-TVG;2152-RA,0,artefacts/03_works/A5080372262.json
Aki Tsuchiya,ready,use_cached_profile,,ok,A5015417862,,Aki Tsuchiya,0000-0003-4245-5399,University of Sheffield,University of Sheffield,272,73,,2013170;2015180;20190840,1,artefacts/03_works/A5015417862.json
Andrew Lloyd,ready,use_cached_profile,,ok,A5031114648,A5004304607;A5079822735,Andrew Lloyd,0000-0002-7597-6556,Lloyd's,Acaster Lloyd,235,99,A5004304607=Andrew R. Lloyd(10 eq); A5079822735=Andrew W. Lloyd(2 eq),1475-RA;1806-RA;20190510,1,artefacts/03_works/A5031114648.json
Annette Regan,ready,use_cached_profile,,ok,A5010948852,,Annette K. Regan,0000-0002-3879-6193,Kaiser Permanente,,226,4,A5055830496=A Regan(1 eq),1796-RA;260-RA;384-RA,0,artefacts/03_works/A5010948852.json
Asrul Shafie,ready,use_cached_profile,,ok,A5089160643,,Asrul Akmal Shafie,0000-0002-5629-9270,Universiti Sains Malaysia,,416,76,A5122335686=Asrul Akmal Shafie(1 eq),2016100;2016190;20190290,0,artefacts/03_works/A5089160643.json
Chris Sampson,ready,use_cached_profile,,ok,A5002636040,,Chris Sampson,0000-0001-9470-2369,Office Of Health Economics,Office of Health Economics,98,13,,116-RA;2112-EOI;427-RA,1,artefacts/03_works/A5002636040.json
Emily McDool,ready,use_cached_profile,,ok,A5006458172,,Emily McDool,0000-0002-3530-7921,University of Sheffield,,25,14,,1455-RA;1665-RA;2097-RA,0,artefacts/03_works/A5006458172.json
Fernando Argento,ready,use_cached_profile,,ok,A5021426515,,Fernando Argento,0000-0002-2492-8933,Instituto de Efectividad Clínica y Sanitaria,,45,8,,2169-RA;2171-RA;2436-RA,0,artefacts/03_works/A5021426515.json
Hannah Penton,ready,use_cached_profile,,ok,A5056335393,,Hannah Penton,0000-0001-9492-7875,Patient-Centered Outcomes Research Institute,,26,13,,1453-RA;1493-RA;1494-RA,1,artefacts/03_works/A5056335393.json
Irina Kinchin,ready,use_cached_profile,,ok,A5054485095,,Irina Kinchin,0000-0003-0133-2763,Trinity College Dublin,,93,6,,1676-RA;1912-RA;235-RA,0,artefacts/03_works/A5054485095.json
Jan Abel Olsen,ready,use_cached_profile,,ok,A5052181611,A5125645599,Jan Abel Olsen,0000-0001-9472-2669,UiT The Arctic University of Norway,"Department of Community Medicine, UiT The Arctic University of Norway",191,43,A5110162663=Jan-Abel Olsen(1 eq); A5125645599=Jan Abel Olsen(2 eq),1830-RA;1973-TVG;2295-RA,1,artefacts/03_works/A5052181611.json
John Brazier,ready,use_cached_profile,,ok,A5007276743,,John Brazier,0000-0001-8645-4780,Novartis (Switzerland),University of Sheffield,860,268,,2014080;2016660;2016710,1,artefacts/03_works/A5007276743.json
John Hartman,ready,use_cached_profile,,ok,A5108501222,,Karen Hartman,,,GSK,239,1,,2016680;2016690;20180560,1,artefacts/03_works/A5108501222.json
Joshua Bonsel,ready,use_cached_profile,,ok,A5090783923,,Joshua M. Bonsel,0000-0002-9143-5506,Erasmus MC,,14,6,,145-RA;1483-TVG;287-PHD,0,artefacts/03_works/A5090783923.json
Ling-Hsiang Chuang,ready,use_cached_profile,,ok,A5057802030,,Ling‐Hsiang Chuang,,Dutch Health Care Inspectorate,,136,34,A5108613850=L Ling-Hsiang Chuang(1 eq),1482-RA;2407-BT;241-RA,1,artefacts/03_works/A5057802030.json
Maksat Jumamyradov,ready,use_cached_profile,,ok,A5067862987,,Maksat Jumamyradov,0009-0008-0180-7224,University of South Florida,,10,6,A5140589336=Maksat Jumamyradov(1 eq),1716-TVG;207-RA;2428-RA,0,artefacts/03_works/A5067862987.json
Marufa Sultana,ready,use_cached_profile,,ok,A5035318354,,Marufa Sultana,0000-0003-2475-6497,Deakin University,,107,6,,1646-RA;2106-RA;2417-RA,0,artefacts/03_works/A5035318354.json
María Belizán,ready,use_cached_profile,,ok,A5058351382,,María Belizán,0000-0002-8739-5249,Instituto de Efectividad Clínica y Sanitaria,,100,14,,1885-RA;2412-BT;2589-RA,0,artefacts/03_works/A5058351382.json
Mihir Gandhi,ready,use_cached_profile,,ok,A5087601665,A5112963139,Mihir Gandhi,0000-0002-8902-2710,Duke-NUS Medical School,Duke-NUS Medical School,168,23,A5112963139=Mihir Gandhi(4 eq),20170180;2224-RA;389-RA,1,artefacts/03_works/A5087601665.json
Mimmi Åström,ready,use_cached_profile,,ok,A5055089597,,Mimmi Åström,0000-0002-6711-5262,Karolinska Institutet,Karolinska Institutet,17,14,,1776-RA;2015400;20190980,1,artefacts/03_works/A5055089597.json
Mina Bahrampour,ready,use_cached_profile,,ok,A5068470091,,Mina Bahrampour,0000-0002-6915-1865,University of Technology Sydney,University of Technology Sydney,30,15,,2075-EOI;2416-BT;466-RA,1,artefacts/03_works/A5068470091.json
Minh Pham,ready,use_cached_profile,,ok,A5077706356,,Phạm Minh Khuê,0000-0003-2974-3484,Hai phong University Of Medicine and Pharmacy,,131,5,A5100633569=Ngoc Minh Pham(1 eq),1970-RA;2136-TVG;2305-BT,0,artefacts/03_works/A5077706356.json
Ole Marten,ready,use_cached_profile,,ok,A5033160244,,Ole Marten,0000-0002-2576-9110,Bielefeld University,Bielefeld University,19,13,,1951-RA;2024-RA;2623-RA,1,artefacts/03_works/A5033160244.json
Oliver Rivero-Arias,ready,use_cached_profile,,ok,A5121462085,,Oliver Rivero-Arias,,University of Oxford,University of Oxford,19,2,A5014510851=Oliver Rivero‐Arias(71 eq); A5140639649=Oliver Rivero-Arias(1 eq); A5091454927=O Rivero-Arias(1 eq),20180240;2021-RA;206-RA,1,artefacts/03_works/A5121462085.json
Philip Clarke,ready,use_cached_profile,,ok,A5072230333,,Philip Clarke,0000-0002-7555-5348,The University of Melbourne,,501,34,A5043755237=Graham Clarke(1 eq); A5101846816=Philip A. Clarke(1 eq),118-RA;1415-RA;310-RA,0,artefacts/03_works/A5072230333.json
Philip Powell,ready,use_cached_profile,,ok,A5072704582,,Philip A. Powell,0000-0003-1169-3431,Philips (Finland),,116,27,A5067487467=Philip Powell(1 eq),1711-RA;1877-RA;307-RA,0,artefacts/03_works/A5072704582.json
Rosalie Viney,ready,use_cached_profile,,ok,A5076742980,,Rosalie Viney,0000-0002-0039-9635,University of Technology Sydney,University of Technology Sydney,320,74,A5137922693=Rosalie Viney(1 eq),148-RA;2015360;2016280,1,artefacts/03_works/A5076742980.json
Sander van Kuijk,ready,use_cached_profile,,ok,A5087173002,,Sander M. J. van Kuijk,0000-0003-2796-729X,Maastricht University Medical Centre,,669,46,A5113240423=Sander M J van Kuijk(1 eq),1569-RA;1983-PHD;2368-RA,0,artefacts/03_works/A5087173002.json
Shankar Prinja,ready,use_cached_profile,,ok,A5071690494,A5108973227,Shankar Prinja,0000-0001-7719-6986,Post Graduate Institute of Medical Education and Research,,324,25,A5108973227=Shankar Prinja(3 eq),20170520;2033-RA;2220-VS,0,artefacts/03_works/A5071690494.json
Suzana Karim,ready,use_cached_profile,,ok,A5003389681,,Suzana Karim,0000-0002-3370-1554,University of Dhaka,,6,3,,138-RA;139-RA;20190230R1,0,artefacts/03_works/A5003389681.json
Thao Thai,ready,use_cached_profile,,ok,A5050171927,,Thao Phuong Thi Thai,,,,8,2,,1797-RA;1887-RA;1896-RA,0,artefacts/03_works/A5050171927.json
Titi Fitriana,ready,use_cached_profile,,ok,A5049547434,,Titi Sahidah Fitriana,0000-0001-5062-6886,Yarsi University,,18,12,,20180490;20200010;2444-RA,0,artefacts/03_works/A5049547434.json
Vivian Reckers-Droog,ready,use_cached_profile,,ok,A5121459836,,Vivian Reckers-droog,,Erasmus University Rotterdam,,9,1,A5011536590=Vivian Reckers‐Droog(16 eq),1462-PHD;20190920;2154-RA,0,artefacts/03_works/A5121459836.json
Yiting Luo,ready,use_cached_profile,,ok,A5101270824,,Yiting Luo,,Anhui Polytechnic University,,52,1,A5102541048=Yiting Luo(1 eq),1867-RA;2036-RA;2458-RA,0,artefacts/03_works/A5101270824.json
madeeha malik,ready,use_cached_profile,,ok,A5053689562,A5101765730,Madeeha Malik,0000-0001-5824-9405,Health Services Academy,,104,16,A5101765730=Madeeha Malik(3 eq),1670-VS;20180660;344-VS,0,artefacts/03_works/A5053689562.json
Agota Szende,ready,use_cached_profile,,ok,A5002095623,,Ágota Szende,0000-0002-5880-3354,Genesis Research Trust,Covance Health Economics & Outcomes Services,113,33,,2015470;20191120,1,artefacts/03_works/A5002095623.json
Akanksha Akanksha,ready,use_cached_profile,,ok,A5101596594,,Akanksha Akanksha,,University of Technology Sydney,,135,3,A5100727879=Ajay Singh(7 eq),1799-RA;2511-RA,0,artefacts/03_works/A5101596594.json
Alex Bató,ready,use_cached_profile,,ok,A5009546494,,Alex Bató,0000-0002-1450-4790,Semmelweis University,,16,9,,2260-RA;2441-RA,0,artefacts/03_works/A5009546494.json
Annushiah Vasan Thakumar,ready,use_cached_profile,,ok,A5007225491,,Annushiah Vasan Thakumar,0000-0001-7261-1255,Taylor's University,,32,25,,2297-EO;2629-RA,0,artefacts/03_works/A5007225491.json
Arto Ohinmaa,ready,use_cached_profile,,ok,A5087246819,,Arto Öhinmaa,0000-0002-7094-1573,University of Alberta,"School of Public Health, University of Alberta, Edmonton, Canada",317,83,A5142884152=Arto Ohinmaa(1 eq); A5138243837=Arto Ohinmaa(1 eq),1744-EO;2015380,1,artefacts/03_works/A5087246819.json
Begashaw Melaku Gebresillassie,ready,use_cached_profile,,ok,A5013305477,,Begashaw Melaku Gebresillassie,0000-0003-0071-732X,Hunter Medical Research Institute,,58,6,,1591-RA;436-RA,0,artefacts/03_works/A5013305477.json
Ben Van Hout,ready,use_cached_profile,,ok,A5032690231,A5061316225,Ben van Hout,0000-0001-9698-6094,The Open Group,Open Health/University of Sheffield,120,42,A5061316225=Ben A. van Hout(9 eq),2014025;20190940,1,artefacts/03_works/A5032690231.json
Christine Mpundu-Kaambwa,ready,use_cached_profile,,ok_via_works,A5020619329,A5057576997,Christine Mpundu‐Kaambwa,0000-0002-8152-6068,The University of Melbourne,,49,20,A5057576997=Billingsley Kaambwa(4 eq),1709-RA;2129-RA,0,artefacts/03_works/A5020619329.json
David Mott,ready,use_cached_profile,,ok,A5009132187,,David Mott,0000-0001-5959-8447,University of Wisconsin–Madison,Office of Health Economics,63,20,A5089519347=David A. Mott(1 eq),104-RA;432-RA,1,artefacts/03_works/A5009132187.json
Edward Webb,ready,use_cached_profile,,ok,A5011344482,,Edward Webb,0000-0001-7918-839X,University of Leeds,University of Leeds,61,6,,2316-RA;289-RA,1,artefacts/03_works/A5011344482.json
Gerard De Pouvourville,ready,use_cached_profile,,ok,A5085975930,,Gérard de Pouvourville,0000-0002-5941-6823,École Supérieure des Sciences Économiques et Commerciales,,357,26,A5122802732=Gérard de Pouvourville(1 eq),20170510;20190020,0,artefacts/03_works/A5085975930.json
Guangjie Zhang,ready,use_cached_profile,,ok,A5030831609,,Guangjie Zhang,0000-0003-1311-8510,Murdoch University,,71,6,A5102899697=Guangjie Zhang(1 eq),1758-EO;1985-EO,0,artefacts/03_works/A5030831609.json
Haode Wang,ready,use_cached_profile,,ok,A5073060343,,Haode Wang,0000-0002-0759-7087,Shanghai Medical Information Center,,7,1,A5081456702=Haode Wang(1 eq),1963-RA;2107-TVG,0,artefacts/03_works/A5073060343.json
Ines Buchholz,ready,use_cached_profile,,ok,A5043257626,,Ines Buchholz,0000-0001-9729-6992,Universität Hamburg,None,41,12,,1785-RA;2016170,1,artefacts/03_works/A5043257626.json
Jahangir Khan,ready,use_cached_profile,,ok,A5052565475,,Jahangir Khan,0000-0002-6151-764X,Liverpool School of Tropical Medicine,,125,5,,1669-VS;2480-EO,0,artefacts/03_works/A5052565475.json
Jan Faller,ready,use_cached_profile,,ok,A5043601549,,Jan Faller,0000-0001-7645-2079,Monash Health,,14,4,A5133161132=Jan Faller(1 eq); A5124626660=Jan Faller(1 eq),1851-TVG;2197-EO,0,artefacts/03_works/A5043601549.json
Jan Heijdra Suasnabar,ready,use_cached_profile,,ok,A5050459768,,Jan M. Heijdra Suasnabar,0000-0002-8057-1318,Leiden University Medical Center,,7,5,A5120850706=Jan Heijdra Suasnabar(1 eq); A5138766947=Jan Heijdra Suasnabar(1 eq),2265-EO;2301-RA,0,artefacts/03_works/A5050459768.json
Jessica Roydhouse,ready,use_cached_profile,,ok,A5010221662,,Jessica Roydhouse,0000-0002-8025-5841,University of Tasmania,,123,15,,1557-RA;2134-RA,0,artefacts/03_works/A5010221662.json
Jill Carlton,ready,use_cached_profile,,ok,A5051490866,A5003198517,Jill Carlton,0000-0002-9373-7663,University of Sheffield,,171,63,A5003198517=J. Carlton(2 eq); A5140632085=Jill Carlton(1 eq),1988-RA;2148-RA,0,artefacts/03_works/A5051490866.json
Lucila Rey Ares,ready,use_cached_profile,,ok,A5045433583,,Lucila Rey Ares,,Pfizer (United States),,25,2,A5059615453=Lucila Rey‐Ares(12 eq); A5121517102=Lucila Rey-Ares(1 eq),2015340;2016340,1,artefacts/03_works/A5045433583.json
Marisa Da Santos,ready,use_cached_profile,,ok,A5070231679,,Marisa Santos,0000-0002-2174-6800,Instituto Nacional de Cardiologia,Instituto Nacional de Cardiologia,164,25,,1445-RA;20190630,1,artefacts/03_works/A5070231679.json
Martine Hoogendoorn,ready,use_cached_profile,,ok,A5033706754,,Martine Hoogendoorn,0000-0002-7122-9780,Erasmus MC,,106,10,,20190850;2339-BT,0,artefacts/03_works/A5033706754.json
Matthijs Versteegh,ready,use_cached_profile,,ok,A5086031530,,Matthijs Versteegh,0000-0003-4804-235X,Huygens Institute for History and Culture of the Netherlands,Huygens & Versteegh,104,34,,2013310;2359-PHD,1,artefacts/03_works/A5086031530.json
Michael Herdman,ready,use_cached_profile,,ok,A5006750775,A5107835766;A5101442953,Michael Herdman,0000-0002-8189-5357,National University of Singapore,Insight Consulting & Research,87,67,A5107835766=Michael Herdman(29 eq); A5101442953=Michael Herdman(29 eq),2014110;2016730,1,artefacts/03_works/A5006750775.json
Michela Meregaglia,ready,use_cached_profile,,ok,A5038451583,,Michela Meregaglia,0000-0003-0092-5970,Bocconi University,,73,24,,2043-RA;351-RA,0,artefacts/03_works/A5038451583.json
Mihretab Gebreslassie,ready,use_cached_profile,,ok,A5085631323,,Mihretab Gebreslassie,0000-0001-9556-0075,Stockholm County Council,,21,6,,1781-RA;2564-RA,0,artefacts/03_works/A5085631323.json
Milad Karimi,ready,use_cached_profile,,ok,A5076374306,,Milad Karimi,0000-0002-5298-174X,Yazd University,,56,9,,2016560;20190550,1,artefacts/03_works/A5076374306.json
Minghui Li,ready,use_cached_profile,,ok_via_works,A5100400064,A5103108258;A5126745824;A5132606393,Minghui Li,0000-0003-3673-5925,,University of Tennessee,,3,A5103108258=Minghui Li(2 eq); A5126745824=Minghui Zeng(2 eq); A5132606393=Linguo Li(2 eq); A5114833165=LI Ming-hui(1 eq); A5016268972=Minghui Li(1 eq); A5044045569=Li Chen(1 eq); A5065633769=Ting Li(1 eq); A5100656423=Zhifang Li(1 eq); A5003200680=Qian Li(1 eq); A5101562655=Yangchun Li(1 eq); A5024828661=Dongyun Li(1 eq); A5082645897=Yuneng Li(1 eq); A5007642188=Ruijiang Li(1 eq); A5085750703=Meng Li(1 eq); A5100683085=Bingyu Li(1 eq); A5016360933=Linguo Li(1 eq),2016580;20180620,1,artefacts/03_works/A5100400064.json
Narcis Gusi,ready,use_cached_profile,,ok,A5042480120,,Narcís Gusi,0000-0002-1001-8883,Complejo Hospitalario de Cáceres,University of Extremadura (Spain),254,71,,20170290;355-RA,1,artefacts/03_works/A5042480120.json
Patricia Cubi-Molla,ready,use_cached_profile,,ok_via_works,A5087726711,,Patricia Cubí‐Mollá,0000-0002-2803-7337,Office Of Health Economics,,53,13,,2016460;20180190,0,artefacts/03_works/A5087726711.json
Shitong Xie,ready,use_cached_profile,,ok,A5113241600,A5103283293,Shitong Xie,,Tianjin University of Science and Technology,,61,35,A5103283293=Shitong Xie(4 eq); A5121097943=Shitong Xie(1 eq),2209-RA;2211-RA,0,artefacts/03_works/A5113241600.json
Shunya Ikeda,ready,use_cached_profile,,ok,A5064794823,,Shunya Ikeda,0000-0002-1866-2155,Hiroshima University,,300,34,A5071966276=Shunya Ikeda(1 eq),2013140;2014040,0,artefacts/03_works/A5064794823.json
Stirling Bryan,ready,use_cached_profile,,ok,A5015667412,,Stirling Bryan,0000-0001-7093-3058,Vancouver Coastal Health,University of British Columbia,367,54,,164-RA;1787-RA,1,artefacts/03_works/A5015667412.json
Takeru Shiroiwa,ready,use_cached_profile,,ok,A5007564965,,Takeru Shiroiwa,0000-0003-3055-9932,National Institute of Public Health,,166,70,A5131473235=Shiroiwa Takeru(1 eq),20180280;2098-RA,0,artefacts/03_works/A5007564965.json
Tie Parma Yamato,ready,use_cached_profile,,ok,A5034831401,,Tiê Parma Yamato,0000-0002-5228-1292,The University of Sydney,,112,8,,218-RA;220-VS,0,artefacts/03_works/A5034831401.json
Trudy Sullivan,ready,use_cached_profile,,ok,A5022698267,,Trudy Sullivan,0000-0001-8452-2591,University of Otago,University of Otago,82,18,A5066639875=T Sullivan(1 eq),20180470;441-RA,1,artefacts/03_works/A5022698267.json
Xin Zhang,ready,use_cached_profile,,ok,A5100427821,,Lixin Zhang,0000-0003-0894-9520,University of Science and Technology Liaoning,,1125,2,,1972-RA;2649-EO,0,artefacts/03_works/A5100427821.json
Xuejing Jin,ready,use_cached_profile,,ok,A5008581679,,Xuejing Jin,0000-0003-3513-2364,Beijing University of Chinese Medicine,Beijing University of Chinese Medicine,61,33,,217-EO;318-RA,1,artefacts/03_works/A5008581679.json
Aaron Winn,ready,use_cached_profile,,ok,A5066367734,,Aaron N. Winn,0000-0003-2906-3913,University of Illinois Chicago,,177,1,,2349-BT,0,artefacts/03_works/A5066367734.json
Abdelghafour MARFAK,ready,use_cached_profile,,ok,A5024805890,,Abdelghafour Marfak,0000-0002-4212-8438,National School of Architecture,,79,21,,1411-VS,0,artefacts/03_works/A5024805890.json
Abdulmuminu Isah,ready,use_cached_profile,,ok,A5024575926,,Abdulmuminu Isah,0000-0002-1349-6434,University of Nigeria,,103,8,A5128234390=Isah Abdulmuminu(1 eq),2236-VS,0,artefacts/03_works/A5024575926.json
Abdulrasheed Hassan Yusuf,ready,use_cached_profile,,ok,A5138651068,,Abdulrasheed Hassan Yusuf,,Mahidol University,,1,1,,1731-VS,0,artefacts/03_works/A5138651068.json
Abeer Al Rabayah,ready,use_cached_profile,,ok,A5058964513,,Abeer Al Rabayah,0000-0003-2952-9103,King Hussein Cancer Center,,28,9,A5133668877=Abeer Al Rabayah(1 eq),60-VS,0,artefacts/03_works/A5058964513.json
Ademola Itiola,ready,use_cached_profile,,ok,A5093433205,,Ademola Itiola,,University of Alberta,,2,2,A5009099235=Ademola Joshua Itiola(1 eq),1753-PHD,0,artefacts/03_works/A5093433205.json
Alexander Geissler,ready,use_cached_profile,,ok,A5089010455,A5121250490,Alexander Geißler,0000-0002-7445-2929,University of St.Gallen,,232,11,A5121250490=Alexander Geissler(2 eq),301-SG,0,artefacts/03_works/A5089010455.json
Alexander van Heusden,ready,use_cached_profile,,ok,A5070658848,,Alexander van Heusden,0009-0007-8055-5450,Murdoch Children's Research Institute,,37,6,,1739-EO,0,artefacts/03_works/A5070658848.json
Andrea L. Monteiro,ready,use_cached_profile,,ok,A5024494805,,A Monteiro,0000-0001-9763-3485,Clinton College,,53,20,,161-RA,0,artefacts/03_works/A5024494805.json
Andrew Lenny,ready,use_cached_profile,,ok,A5029564514,,Andrew Lenny,0000-0002-9325-0062,People's History Museum,,10,4,,239-RA,0,artefacts/03_works/A5029564514.json
Ann Charlotte Egmar,ready,use_cached_profile,,ok,A5037683865,,Ann‐Charlotte Egmar,0000-0003-2504-343X,Röda Korsets Högskola,,32,16,,2013060,0,artefacts/03_works/A5037683865.json
Anna Krabbe-Lugner,ready,use_cached_profile,,ok,A5047866823,,Anna K. Lugnér,,,"Ministry of Infrastructure and Water Management, the Netherlands",36,3,A5086897701=Anna Norinder(2 eq); A5034856594=Lugnér Norinder Anna(1 eq),2015010,1,artefacts/03_works/A5047866823.json
Antony Martin,ready,use_cached_profile,,ok,A5070568819,A5006233066,Antony P. Martin,0000-0003-4383-6038,,,125,13,A5006233066=Martin M. Antony(2 eq),319-RA,0,artefacts/03_works/A5070568819.json
Arjun Bhadhuri,ready,use_cached_profile,,ok,A5064578943,,Arjun Bhadhuri,0000-0003-1220-0731,University of Basel,,23,12,,2506-RA,0,artefacts/03_works/A5064578943.json
Ava Hoogenboom,ready,use_cached_profile,,ok,A5117116214,,Ava F H Hoogenboom,0009-0004-2252-454X,Erasmus University Rotterdam,,2,2,,1934-TVG,0,artefacts/03_works/A5117116214.json
Beata Koń,ready,use_cached_profile,,ok,A5070682056,,Beata Koń,0000-0003-2190-4546,National Health Insurance Fund,,34,1,,91-RA,0,artefacts/03_works/A5070682056.json
Benedicte Lescrauwaet,ready,use_cached_profile,,ok,A5076552397,,Bénédicte Lescrauwaet,0000-0002-7976-0330,Ghent University Hospital,,81,3,,2403-BT,0,artefacts/03_works/A5076552397.json
Bernhard Slaap,ready,use_cached_profile,,ok,A5001372652,,Bernhard Slaap,0000-0002-4301-4790,EuroQol Research Foundation,,8,8,,20200050,0,artefacts/03_works/A5001372652.json
Birol Yetim,ready,use_cached_profile,,ok,A5048427287,,Birol Yetim,0000-0002-1294-1874,Muş Alparslan University,,28,1,,2247-VS,0,artefacts/03_works/A5048427287.json
Brigitte Essers,ready,use_cached_profile,,ok,A5056962219,,Brigitte A.B. Essers,0000-0002-7703-7114,Maastricht University Medical Centre,,114,16,A5027908703=Brigitte Essers(1 eq); A5121223439=Brigitte A. B. Essers(1 eq); A5133815045=Brigitte A B Essers(1 eq),2016740,0,artefacts/03_works/A5056962219.json
Camilla Falivena,ready,use_cached_profile,,ok,A5014952669,,Camilla Falivena,0000-0003-3259-095X,Libera Università Maria SS. Assunta,,21,1,,354-RA,0,artefacts/03_works/A5014952669.json
Cathrine Elgaard Jensen,ready,use_cached_profile,,ok,A5102727513,A5003573062,Cathrine Elgaard Jensen,0000-0001-7300-254X,Aalborg University,,12,9,A5003573062=Cathrine Elgaard Jensen(3 eq),1606-RA,0,artefacts/03_works/A5102727513.json
