registry_id	alias	use_type
method:analysis-of-variance	Analysis of variance (overall F-test)	Method
method:analysis-of-variance	ANOVA	Method
method:analysis-of-variance	ANOVA analysis	Method
method:analysis-of-variance	ANOVA comparisons across severity levels	Method
method:analysis-of-variance	ANOVA F-statistic for relative efficiency	Method
method:analysis-of-variance	ANOVA with planned comparisons	Method
method:analysis-of-variance	ANOVAs with planned comparisons	Method
method:analysis-of-variance	ratio of F-statistics (relative statistical efficiency)	Method
method:analysis-of-variance	relative efficiency (ratio of 2 F-statistics)	Method
method:analysis-of-variance	Relative efficiency (RE), ratio of F-statistics or squared t-statistics	Method
method:analysis-of-variance	relative efficiency based on the ratio of ANOVA F-statistics	Method
method:analysis-of-variance	Relative efficiency computed as the ratio of the F-statistic used in the analysis of variance	Method
method:analysis-of-variance	Statistical power analysis (F-test ANOVA, fixed effects, main and interaction effects) following Cohen's guidelines	Method
method:anchor-based-method	anchor-based approaches using external anchors classifying patients into change categories	Method
method:anchor-based-method	Anchor-based classification of change in SFT status using FACIT-COST item FT12	Method
method:anchor-based-method	Anchor-based method using EORTC QLQ-C30 global health status for MCID	Method
method:anchor-based-method	Anchor-based MID estimation approach	Method
method:anchor-based-method	Anchor-based responsiveness analysis using the check of change question	Method
method:arithmetic-mean	Calculation of arithmetic means and standard errors of cTTO values per health state	Method
method:arithmetic-mean	response means	Method
method:attention-checks	Attention checks and minimum completion time thresholds	Method
method:attention-checks	Pre-set quality criteria for inclusion (speeding check, attention check question, age consistency check, honeypot question)	Method
method:automated-item-selection	Automated item selection procedure (AISP)	Method
method:back-translation	Backward translation	Method
method:back-translation	Two independent back translations into English by native English translators blinded to the original	Method
method:backward-selection	Backward deletion variable selection strategy (forced entry start, p < 0.05)	Method
method:backward-selection	backward selection method	Method
method:backward-selection	backward selection method for identifying significant interaction terms	Method
method:backward-selection	Backward selection of non-significant variables (p > 0.05)	Method
method:backward-selection	stepwise removal of non-significant variables	Method
method:bartlett-equal-variance-test	Bartlett's test	Method
method:bartlett-equal-variance-test	Bartlett's test of equality of variances	Method
method:bartlett-sphericity-test	Bartlett’s test of sphericity	Method
method:bayesian-efficient-design	Bayesian D-efficient design	Method
method:bayesian-efficient-design	Bayesian D-efficient design algorithm	Method
method:bayesian-efficient-design	Bayesian D-efficient design algorithm implemented in R by Oppe and van Hout based on Rose et al.	Method
method:bayesian-efficient-design	Bayesian D-efficient discrete choice experiment design with sequential design updates	Method
method:bayesian-efficient-design	Bayesian efficient design (with simulations to select the final design)	Method
method:bayesian-efficient-design	Bayesian efficient design algorithm which minimized D-error	Method
method:bayesian-efficient-design	Bayesian efficient design using priors from 19 EQ-5D-5L valuation studies	Method
method:bayesian-efficient-design	Bayesian efficient design with two-dimension overlap, level spread and utility balance	Method
method:bayesian-efficient-design	Efficient Bayesian design	Method
method:bayesian-efficient-design	Efficient design routine (mnl model, 500 Bayesian draws, Halton sequence, modified Fedorov algorithm)	Method
method:bayesian-efficient-design	heterogeneous DCE design algorithm optimizing Bayesian D error (unstratified Bayesian efficient design)	Method
method:bayesian-efficient-design	near-orthogonal design followed by Bayesian D-efficient design updating	Method
method:bayesian-information-criterion	Bayesian Information Criteria (BIC)	Method
method:bayesian-information-criterion	Bayesian information criterion (BIC)	Method
method:bayesian-information-criterion	Bayesian Information Criterion (BIC) nested model comparison	Method
method:bayesian-information-criterion	BIC (Bayesian information criterion) model selection	Method
method:bayesian-mcmc	Bayesian estimation with Markov Chain Monte Carlo (MCMC) sampling (25,000 burn-in and 75,000 draws, 3 chains)	Method
method:bayesian-mcmc	Bayesian estimation with Markov-chain Monte Carlo simulation	Method
method:bayesian-mcmc	Bayesian Markov Chain Monte Carlo (MCMC) estimation with a custom-implemented Metropolis-within-Gibbs algorithm with antithetic sampling	Method
method:bayesian-mcmc	Bayesian Markov chain Monte Carlo (MCMC) methods	Method
method:bayesian-mcmc	Bayesian Markov-Chain Monte Carlo (MCMC) methods (50 000 burn-in and 100 000 additional draws)	Method
method:bayesian-mcmc	Bayesian MCMC estimation (3 chains, burn-in of 50,000 and 50,000 posterior draws)	Method
method:bayesian-mcmc	Markov Chain Monte Carlo simulation (500 adaptive, 4000 burn-in, 20,000 iterations, two chains)	Method
method:bca-bootstrap	Bias-corrected and accelerated (BCA) bootstrap with 2000 replications for 95% confidence intervals of effect sizes	Method
method:better-than-dead-task	better than dead (BTD)	Method
method:better-than-dead-task	better-than-dead (BTD) method	Method
method:better-than-dead-task	trading pattern analysis (better-than-dead-only traders, non-traders, low engagement trading)	Method
method:birthday-selection-method	Most recent birthday method	Method
method:birthday-selection-method	most recent birthday method	Method
method:birthday-selection-method	next birthday rule	Method
method:bisection-elicitation	Bisection approach to reaching equivalence	Method
method:bisection-elicitation	Bisection elicitation procedure with five choices	Method
method:bisection-elicitation	bisection procedure followed by upward/downward titration with 1-year or 6-month increments	Method
method:bisection-elicitation	iterative bisection procedure	Method
method:bisection-elicitation	iterative procedure involving a bisection approach	Method
method:bland-altman-plots	Bland–Altman (B–A) plot	Method
method:bland-altman-plots	Bland-Altman plot	Method
method:bland-altman-plots	Bland-Altman plots with limits of agreement	Method
method:bland-altman-plots	Bland-Altman test	Method
method:bonferroni-correction	Bonferroni adjustment for multiple comparisons	Method
method:bonferroni-correction	Bonferroni correction (α=0.017)	Method
method:bonferroni-correction	Bonferroni correction for multiple comparisons	Method
method:bonferroni-correction	Multiple comparison post-hoc analysis test using the Bonferroni correction method	Method
method:bootstrap-resampling	2,000 stratified bootstrap repetitions for 95% confidence intervals	Method
method:bootstrap-resampling	95% bootstrap confidence intervals based on 3000 replications	Method
method:bootstrap-resampling	bootstrap (3000 bootstrap samples) for 95% confidence intervals	Method
method:bootstrap-resampling	Bootstrap (3000 replications) 95% CIs	Method
method:bootstrap-resampling	bootstrap of participants (independent C-TTO and DCE resampling)	Method
method:bootstrap-resampling	bootstrap with 3000 replications for 95% confidence intervals	Method
method:bootstrap-resampling	Bootstrapped 90% confidence intervals for relative attribute importance	Method
method:bootstrap-resampling	bootstrapping	Method
method:bootstrap-resampling	Bootstrapping (10,000 samples)	Method
method:bootstrap-resampling	bootstrapping (simulation of 10 million value sets)	Method
method:bootstrap-resampling	bootstrapping for estimation of sampling errors	Method
method:bootstrap-resampling-1000	1000 bootstrap resampling for 95% confidence intervals around goodness-of-fit values	Method
method:bootstrap-resampling-1000	1000 bootstrap samples	Method
method:bootstrap-resampling-1000	1000 bootstrap samples for 95% confidence intervals	Method
method:bootstrap-resampling-1000	Bootstrap resampling (1000 replications)	Method
method:bootstrap-resampling-1000	Bootstrapping (1000 replications with replacement, percentile confidence interval)	Method
method:bootstrap-resampling-1000	Bootstrapping with 1000 replications and resampling with replacement	Method
method:bootstrap-resampling-1000	Bootstrapping with 1000 resamples for 95% confidence intervals of adjusted R-squared	Method
method:bootstrap-resampling-1000	bootstrapping with replacement (1000 samples) for 95% confidence intervals	Method
method:bootstrap-resampling-1000	Non-parametric bootstrap method (percentile method, 1,000 replications)	Method
method:box-cox-transformation	Box-Cox transformation of dependent variables	Method
method:brant-test	Brant test of the proportional odds assumption	Method
method:breusch-pagan-test	Breusch-Pagan test for heteroscedasticity	Method
method:breusch-pagan-test	Breusch–Pagan/Cook-Weisberg test for homoscedasticity	Method
method:breusch-pagan-test	Breush-Pagan test	Method
method:brown-forsythe-test	Brown–Forsythe tests	Method
method:bws	best-worst scaling	Method
method:bws	Best–worst scaling (BWS)	Method
method:bws	best-worst scaling (BWS)	Method
method:bws	Best-worst scaling (BWS) tasks	Method
method:bws-case-2	best–worst scaling case 2 (BWS case 2)	Method
method:bws-case-2	best–worst scaling case 2 (BWS)	Method
method:c50-p028-database-and-citation-search	Electronic database literature search (CINAHL, PsycInfo, Embase, MEDLINE) using search terms and MeSH headings for GPBMs, psychometric properties and informal carers	Method
method:c50-p028-database-and-citation-search	Electronic database search in CINAHL, PsycInfo, Embase and MEDLINE, supplemented with forward and backward citation searches in Scopus	Method
method:c50-p028-independent-dual-screening	Dual independent title/abstract and full-text screening with senior-reviewer adjudication	Method
method:c50-p028-independent-dual-screening	Independent dual screening with disagreement resolution by a senior reviewer	Method
method:c50-p032-cluster-bootstrap	cluster bootstrap techniques with replacement, block-specific strata and 1000 iterations	Method
method:c50-p032-panel-vendor-32-quota-recruitment	Online panel recruitment with 32 demographic quotas (gender, age, ancestry)	Method
method:c50-p032-panel-vendor-32-quota-recruitment	panel-vendor recruitment using 32 quotas	Method
method:c50-p045-qc-formal-task-time	total time spent on the formal 10 C-TTO tasks < 5 minutes	Method
method:c50-p045-qc-lead-time-explanation	no explanation of the lead-time TTO in the wheelchair example	Method
method:c50-p045-qc-logical-inconsistency	significant logical inconsistency in the derived C-TTO values	Method
method:c50-p045-qc-wheelchair-time	time spent on explaining the wheelchair example < 3 minutes	Method
method:ceiling-and-floor-percentages	Absolute and relative reduction in ceiling and floor effects	Method
method:ceiling-and-floor-percentages	Ceiling and floor effects	Method
method:ceiling-and-floor-percentages	Ceiling and floor percentage analysis	Method
method:chaining-test-cardinal-transitivity	Chaining test of cardinal transitivity (ratio consistency)	Method
method:chi-square-goodness-of-fit-test	χ2 goodness-of-fit test	Method
method:chi-square-homogeneity-test	Chi-squared test for homogeneity	Method
method:chi-square-test	Chi square test	Method
method:chi-square-test	Chi square tests	Method
method:chi-square-test	Chi squared test	Method
method:chi-square-test	chi-square	Method
method:chi-square-test	Chi-square (x2) statistic	Method
method:chi-square-test	Chi-square (χ2) tests of sociodemographic and clinical characteristics	Method
method:chi-square-test	chi-square statistic	Method
method:chi-square-test	Chi-square statistics	Method
method:chi-square-test	Chi-square test of differences between the samples	Method
method:chi-square-test	Chi-square tests	Method
method:chi-square-test	chi-square tests	Method
method:chi-square-test	Chi-squared test	Method
method:chi-square-test	Chi-squared tests	Method
method:chi-square-test	Chi-squared tests for proportions	Method
method:chi-square-test	Chi2 test	Method
method:chi-square-test	Pearson's chi-square test	Method
method:chi-square-test	Pearson's Chi-squared test	Method
method:chi-square-test	Pearson's chi-squared test	Method
method:chi-square-test	Pearson’s chi-squared tests	Method
method:chi-square-test	χ2 test	Method
method:chi-square-test	χ2 tests	Method
method:citation-searching	Forward and backward citation searches in Scopus	Method
method:citation-searching	Hand search of reference lists of identified original articles and reviews	Method
method:citation-searching	Hand searching and citation tracking in Google Scholar (last on March 10, 2023)	Method
method:citation-searching	Hand-searching of reference lists of included studies and relevant reviews	Method
method:citation-searching	Reference list screening of all included articles	Method
method:closed-ended-survey-questions	closed-ended questions about participants’ considerations behind their choices in the cTTO tasks	Method
method:closed-ended-survey-questions	Closed-ended questions within the interview guide	Method
method:cluster-bootstrap	bootstrap techniques (with replacement, clustering at the respondent level, stratification by block, and 1000 iterations)	Method
method:cluster-bootstrap	cluster bootstrap (with replacement, 1000 iterations)	Method
method:cluster-bootstrap	cluster bootstrap technique (with replacement) and the percentile method	Method
method:cluster-bootstrap	Cluster bootstrap with replacement, block-specific strata and 1000 iterations	Method
method:cluster-sampling	Cluster sampling strategy	Method
method:cluster-sampling	multi-stage, random cluster sampling with probability-proportional-to-size methods	Method
method:cnf-p002-multiple-switch-qc	TTO scores were flagged as inconsistent if more than one preference switch occurred	Method
method:cnf-p003-adapted-penton-response-framework	Adapted framework of response issues by Penton et al.	Method
method:cnf-p003-adapted-penton-response-framework	framework adapted from the existing model of response issues by Penton et al.	Method
method:cnf-p005-ssi-panel-recruitment	online panel recruitment with stratification by age, gender, and education	Method
method:cnf-p005-ssi-panel-recruitment	Survey Sampling International (SSI) online panel	Method
method:cnf-p006-post-screening-clinic-recruitment	recruitment after the surgical screening appointment at a high-volume urban hip and knee clinic	Method
method:cnf-p008-eq-vt-qc-tool	QC tool	Method
method:cnf-p008-pictorial-tool-feedback	asking them about their feedback	Method
method:cnf-p009-database-search	Database search in Ovid MEDLINE, Ovid EMBASE, and EconLit	Method
method:cnf-p009-database-search	Search of Ovid MEDLINE (Medline & Pubmed), Ovid EMBASE, and EconLit from 1946 to 11 November 2024	Method
method:cnf-p009-self-report-scoring-category	Self-reporting scoring system	Method
method:cnf-p011-adapted-tourangeau-coding-framework	adapted coding framework from van Leeuwen et al. based on Tourangeau’s model of survey response	Method
method:cnf-p012-dynata-panel-recruitment	Recruitment from Dynata existing voluntary panels	Method
method:cnf-p012-dynata-panel-recruitment	recruitment from the existing voluntary panels of an international market research agency (Dynata)	Method
method:cnf-p013-alberta-norm-matched-comparison	comparison with Alberta general population norms matched by age and sex	Method
method:cnf-p016-qualtrics-panel-recruitment	Qualtrics caregiver panel recruitment	Method
method:co-design	Co-design methodology	Method
method:co-design	Facilitated co-design workshops	Method
method:coefficient-range-method	Coefficient range method for overall attribute weights	Method
method:cognitive-debriefing	Cognitive debrief interviews	Method
method:cognitive-debriefing	cognitive debriefing (39)	Method
method:cognitive-debriefing	Cognitive debriefing (cognitive interviewing) with probes	Method
method:cognitive-debriefing	Cognitive debriefing (cognitive interviews)	Method
method:cognitive-debriefing	Cognitive debriefing interviews (verbal probes and paraphrasing)	Method
method:cognitive-debriefing	Cognitive debriefing of 3 children with thalassemia on the Indonesian TranQol	Method
method:cognitive-debriefing	Cognitive debriefing of the locally translated self-reported TranQol with three children aged 12-15	Method
method:cognitive-debriefing	Cognitive debriefing on comprehensiveness and relevance	Method
method:cognitive-debriefing	retrospective probing (cognitive debriefing)	Method
method:cognitive-debriefing	Structured detailed cognitive debriefing interviews with children	Method
method:cognitive-interview	Cognitive interviewing (interview guide with instructions and prompts)	Method
method:cognitive-interview	Cognitive interviews	Method
method:cognitive-interview	cognitive interviews (in-depth, open-ended interviews)	Method
method:cognitive-interview	cognitive interviews with probing questions	Method
method:cognitive-interview	Piloting of the cognitive interview topic guide in the first two interviews conducted jointly by both interviewers	Method
method:cognitive-interview	semi-structured cognitive interviews	Method
method:cognitive-interview	semi-structured cognitive interviews using a three-phase approach (cognitive interviewing, targeted probing, open discussion)	Method
method:cognitive-interview	semi-structured one-to-one cognitive interviews	Method
method:cognitive-think-aloud-interview	cognitive think-aloud interviews	Method
method:cohen-association-strength-criteria	Cohen's criteria for interpreting correlation coefficients (0.1–0.29 low, 0.3–0.49 moderate, ≥0.5 high)	Method
method:cohen-association-strength-criteria	Cohen's criterion for effect sizes	Method
method:cohen-association-strength-criteria	Cohen's interpretation criteria for correlation coefficients (0.1-0.29 low, 0.3-0.49 moderate, ≥0.5 high)	Method
method:cohen-association-strength-criteria	Cohen’s criteria for strength of association	Method
method:cohen-association-strength-criteria	Effect size interpreted according to Cohen's criterion	Method
method:cohen-weighted-kappa	Cohen's weighted kappa coefficient	Method
method:cohen-weighted-kappa	Cohen’s weighted kappa	Method
method:cohen-weighted-kappa	Linear weighted Kappa	Method
method:cohen-weighted-kappa	unweighted kappa statistic	Method
method:cohen-weighted-kappa	Weighted Kappa (wκ)	Method
method:cohen-weighted-kappa	Weighted kappa coefficient	Method
method:cohen-weighted-kappa	Weighted Kappa coefficients	Method
method:cohen-weighted-kappa	Weighted kappa coefficients	Method
method:cohens-d	Cohen's d	Method
method:cohens-d	Cohen's d between-subject effect size	Method
method:cohens-d	Cohen's d criteria for interpreting ES and SRM	Method
method:cohens-d	Cohen's D effect size	Method
method:cohens-d	Cohen's d effect size	Method
method:cohens-d	Cohen's d effect size (ES)	Method
method:cohens-d	Cohen's d effect size with Cohen's interpretation criteria	Method
method:cohens-d	Cohen's d effect sizes	Method
method:cohens-d	Cohen's effect size (ES, difference of mean/pooled SD)	Method
method:cohens-d	Cohen’s D effect size	Method
method:cohens-d	Cohen’s d effect size	Method
method:cohens-d	Cohen’s d effect sizes	Method
method:cohens-d	Effect size (Cohen's d) for known-group comparison	Method
method:cohens-d	Effect size (Cohen's d): mean difference between adjacent severity classes divided by the standard deviation of the milder class	Method
method:cohens-d	Known-groups validity analysis using Cohen's d effect sizes (esize command)	Method
method:cohens-kappa	Cohen's Kappa (k) statistics	Method
method:cohens-kappa	Cohen's Kappa (κ)	Method
method:cohens-kappa	Cohen's kappa statistic	Method
method:cohens-kappa	Cohens Kappa	Method
method:cohens-kappa	Weighted Cohen's kappa (κ) with percent exact agreement	Method
method:complete-case-analysis	complete case analyses (no imputation of missing data)	Method
method:complete-case-analysis	Complete case analysis	Method
method:complete-case-analysis	complete case analysis	Method
method:complete-case-analysis	Complete-case analysis (no data estimation for missing data)	Method
method:computer-assisted-personal-interview	computer assisted personal interview (CAPI) survey	Method
method:computer-assisted-personal-interview	computer assisted personal interviews (CAPI) administered through videoconferencing	Method
method:computer-assisted-personal-interview	computer-assisted face-to-face interviews	Method
method:computer-assisted-personal-interview	computer-assisted personal interview (CAPI)	Method
method:computer-assisted-personal-interview	Computer-assisted personal interview (CAPI) household survey	Method
method:computer-assisted-personal-interview	Computer-assisted personal interviews	Method
method:computer-assisted-personal-interview	computer-assisted personal interviews	Method
method:computer-assisted-personal-interview	Computer-assisted personal interviews (CAPI)	Method
method:computer-assisted-personal-interview	Computer-assisted personal interviews (CAPIs)	Method
method:concept-analysis	concept analysis framework (31, 48) - antecedents, attributes, consequences	Method
method:concept-analysis	Concept analysis framework (antecedents, attributes, consequences)	Method
method:concurrent-think-aloud	Concurrent think-aloud technique	Method
method:concurrent-think-aloud	concurrent think-aloud techniques	Method
method:confirmatory-factor-analysis	Confirmatory factor analysis (CFA)	Method
method:confirmatory-factor-analysis	confirmatory factor analysis (CFA)	Method
method:confirmatory-factor-analysis	confirmatory factor analysis (CFA) with diagonally weighted least squares (DWLS) estimator	Method
method:confirmatory-factor-analysis	Sample size rule for CFA (N/P ≥ 10) per Myers et al	Method
method:consecutive-sampling	Consecutive hospital recruitment pathway (telehealth links, waiting-room approach, emails/letters, poster advertisements)	Method
method:consecutive-sampling	consecutive recruitment and annual follow-up (EUROSCA)	Method
method:consecutive-sampling	Consecutive recruitment of eligible patients	Method
method:consecutive-sampling	Consecutive recruitment of proportional numbers of participants with anxiety, depression and both	Method
method:consecutive-sampling	Consecutive sampling of HD and PD patients	Method
method:consecutive-sampling	Quota sampling strategy with consecutive enrolment within each age category	Method
method:consecutive-sampling	recruited consecutively	Method
method:content-analysis	Content analysis approach (Hsieh and Shannon)	Method
method:content-analysis	Content analysis of available items following the conceptual model proposed by Wilson and Cleary	Method
method:content-analysis	content analysis with a code book of themes created as themes emerged	Method
method:content-analysis	Formal content analysis	Method
method:content-analysis	Inductive qualitative content analysis according to the process described by Elo and Kyngäs	Method
method:content-analysis	qualitative content analysis	Method
method:content-analysis	Qualitative content analysis [19]	Method
method:content-analysis	Qualitative content analysis according to Mayring (deductive and inductive coding)	Method
method:content-analysis	structured content analysis with iterative coding and categorization	Method
method:convenience-sampling	convenience sample controlled in terms of gender and age groups	Method
method:convenience-sampling	convenience sample of health outcomes professionals/colleagues	Method
method:convenience-sampling	Convenience sampling in primary and secondary schools	Method
method:convenience-sampling	Convenience sampling method	Method
method:convenience-sampling	convenience sampling of biomedical students and researchers	Method
method:convenience-sampling	Convenience sampling of healthy (school) and sick (out-patient) children and adolescents	Method
method:convenience-sampling	convenience sampling of school children and outpatient children	Method
method:convenience-sampling	convenience sampling through patient organisations and social media groups	Method
method:convenience-sampling	Convenience sampling with two-staged contacting procedure	Method
method:convenience-sampling	convenience strategy	Method
method:convenience-sampling	mixed recruitment strategy (personal contact, newspaper advertisement, university bulletins; partly convenience sampling)	Method
method:convenience-sampling	prospective convenience sample	Method
method:convenience-sampling	prospective convenience sample surveyed during chemotherapy appointment with eligibility screening via appointment scheduling system	Method
method:convergent-validity-analysis	Convergent validity analysis (correlation of similar constructs from different instruments)	Method
method:conversation-analysis	Conversational Analysis framework	Method
method:cramers-v	Cramer's V standardised effect sizes	Method
method:cronbachs-alpha	Cronbach alpha coefficients	Method
method:cronbachs-alpha	Cronbach's Alpha	Method
method:cronbachs-alpha	Cronbach's alpha	Method
method:cronbachs-alpha	Cronbach's alpha (internal consistency of WHODAS total and domain scores)	Method
method:cross-validation	5-fold cross-validation	Method
method:cross-validation	by-state cross-validation approach	Method
method:cross-validation	Cross validation of the MEs	Method
method:cross-validation	cross validation of the MEs across study arms of the same DCE format	Method
method:cross-validation	Cross-validation (leave-one-state-out and leave-one-block-out prediction)	Method
method:cross-validation	cross-validation procedure	Method
method:cross-validation	cross-validation procedure (five iterations by health-state block)	Method
method:cross-validation	Independent dual selection, data extraction and cross-validation with consensus discussion (A.D. and D.G.)	Method
method:cross-validation	leave-one-state-out cross-validation analysis (mean absolute errors)	Method
method:ctto	composite time trade off (cTTO)	Method
method:ctto	composite Time Trade Off (cTTO), combining TTO and lead-time TTO	Method
method:ctto	Composite time trade-off	Method
method:ctto	Composite Time Trade-Off (C-TTO)	Method
method:ctto	Composite time trade-off (C-TTO)	Method
method:ctto	composite time trade-off (C-TTO)	Method
method:ctto	composite time trade-off (c-TTO)	Method
method:ctto	composite time trade-off (composite TTO)	Method
method:ctto	Composite time trade-off (composite TTO) procedure	Method
method:ctto	Composite Time Trade-Off (cTTO)	Method
method:ctto	Composite time trade-off (cTTO)	Method
method:ctto	composite time trade-off (cTTO)	Method
method:ctto	Composite time trade-off (cTTO) tasks	Method
method:ctto	composite time trade-off (cTTO) valuation tasks	Method
method:ctto	composite time trade-off (cTTO), combining conventional TTO and lead-time TTO	Method
method:ctto	composite time trade-off (cTTO), comprising conventional TTO and lead-time TTO	Method
method:ctto	composite time trade-off (cTTO), including conventional TTO and lead-time TTO	Method
method:ctto	Composite time trade-off (cTTO), using conventional time trade-off and lead-time TTO	Method
method:ctto	Composite time trade-off (including lead time TTO)	Method
method:ctto	composite time tradeoff	Method
method:ctto	Composite time tradeoff (cTTO)	Method
method:ctto	composite time tradeoff (cTTO)	Method
method:ctto	composite TTO (C-TTO)	Method
method:d-efficient-design	D-efficiency criteria experimental design (10 blocks of 15 experimental pairs)	Method
method:d-efficient-design	D-efficiency maximization procedure	Method
method:d-efficient-design	D-efficiency measure based design construction (six-step approach with simulated designs and blocking)	Method
method:d-efficient-design	D-efficient block design (selection of origin–destination pairs by D-efficiency)	Method
method:d-efficient-design	D-efficient block selection of origin-destination pairs (candidate set definition, block selection by d-efficiency, block evaluation and hold-out/aku assignment)	Method
method:d-efficient-design	D-efficient block selection of origin-destination pairs (candidate set definition, block selection by d-efficiency, block evaluation, hold-out assignment)	Method
method:d-efficient-design	D-efficient DCE design with two-dimension overlap (EQ-5D-Y valuation protocol design)	Method
method:d-efficient-design	D-Efficient design (192 choice pairs, 16 blocks, prior −0.001 for all model coefficients)	Method
method:d-efficient-design	D-efficient design (minimization of D-error)	Method
method:d-efficient-design	D-efficient design with main effects and all two-way interactions	Method
method:d-efficient-design	D-efficient experimental design (4 blocks)	Method
method:d-efficient-design	D-efficient experimental design process for wave-2 paired comparisons (five blocks of 28 paired comparisons)	Method
method:d-efficient-design	D-error minimized design for DCE pairs	Method
method:d-efficient-design	efficient experimental design (80 cTTO health states in ten blocks; 196 DCE pairs in 28 blocks)	Method
method:data-saturation-assessment	Assessment of data and thematic saturation	Method
method:data-saturation-assessment	assessment of data saturation through discussion between the two interviewers after each interview	Method
method:data-saturation-assessment	data saturation assessment	Method
method:data-saturation-assessment	data saturation assessment through discussions between the two interviewers after each interview	Method
method:data-saturation-assessment	Purposive sampling with data saturation	Method
method:data-saturation-assessment	Saturation assessment approach of Guest et al (2020)	Method
method:data-saturation-assessment	saturation grid monitoring of data saturation	Method
method:data-saturation-assessment	thematic saturation monitoring	Method
method:data-saturation-assessment	theoretical saturation (49)	Method
method:data-saturation-assessment	Theoretical saturation assessment with team review after every three interviews	Method
method:dce	Discrete choice experiment	Method
method:dce	Discrete Choice Experiment (DCE)	Method
method:dce	Discrete choice experiment (DCE)	Method
method:dce	discrete choice experiment (DCE)	Method
method:dce	discrete choice experiment (DCE) survey	Method
method:dce	Discrete choice experiment (DCE) tasks	Method
method:dce	discrete choice experiment (DCE) valuation tasks	Method
method:dce	discrete choice experiment (DCE) with 21 choice tasks per respondent	Method
method:dce	discrete choice experiment (DCE) with paired comparisons	Method
method:dce	Discrete choice experiment (DCE), forced choice between 2 health states	Method
method:dce	discrete choice experiment (DCE), standard EQ-VT design of 28 blocks of 7 pairs	Method
method:dce	discrete choice experiments	Method
method:dce	discrete choice experiments (DCE)	Method
method:dce	Discrete Choice Experiments (DCEs)	Method
method:dce	Discrete choice experiments (DCEs)	Method
method:dce	discrete choice experiments (DCEs)	Method
method:dce	discrete-choice experiment (DCE)	Method
method:dce	discrete-choice experiments (DCEs)	Method
method:dce	Pairwise choices (discrete choice experiment)	Method
method:dce-death	DCE with death (immediate death as an additional option)	Method
method:dce-death	DCE-death	Method
method:dce-death	discrete choice experiment including comparisons with death (DCE + death)	Method
method:dce-duration	DCE with duration (split triplets)	Method
method:dce-duration	DCE-duration	Method
method:dce-duration	DCEd	Method
method:dce-duration	discrete choice experiment (DCE) with a duration attribute	Method
method:dce-duration	discrete choice experiment with duration (DCEd)	Method
method:dce-duration	split-triplet discrete choice experiment including a duration attribute (DCEd)	Method
method:dce-duration-and-death	DCE with duration attribute and death alternative (methodological add-on, six tasks)	Method
method:dce-tto-rescaling	linear mapping approach for anchoring DCE latent scale values onto adjusted mean cTTO values	Method
method:dce-tto-rescaling	mapping approach (2-step anchoring of latent DCE values onto observed cTTO values)	Method
method:dce-tto-rescaling	mapping method (regressing DCE latent values onto observed cTTO values to obtain the rescale coefficient)	Method
method:dce-tto-rescaling	mapping of DCE-derived latent values onto mean observed cTTO values (linear and non-linear anchoring)	Method
method:dce-tto-rescaling	rescaling (anchoring) of DCE model estimates on the 0-1 quality-adjusted life-year scale by regressing mean cTTO values for the 10 health states onto their respective DCE estimates	Method
method:dce-tto-rescaling	rescaling of DCE coefficients using the rescaling parameter of the TTO model estimations	Method
method:dce-tto-rescaling	Rescaling of DCE model coefficients using the rescaling parameter of the TTO model estimations	Method
method:dce-without-duration	Choice task formatted to mirror a pairwise discrete choice experiment (DCE) without duration	Method
method:dce-without-duration	discrete choice experiment (DCE) paired comparisons without duration	Method
method:dce-without-duration	Discrete choice experiment (DCE) without duration	Method
method:delphi-method	Delphi technique	Method
method:delphi-method	modified Delphi approach (country selection and sample size)	Method
method:delphi-method	modified Delphi method for selecting measures and variables	Method
method:delphi-method	modified two-round Delphi panel approach	Method
method:descriptive-analysis	descriptive analyses (proportions, mean and standard deviation)	Method
method:descriptive-analysis	Descriptive analyses of frequencies, proportions, means and standard deviations	Method
method:descriptive-analysis	descriptive analyses of respondent demographic and general characteristics	Method
method:descriptive-analysis	Descriptive analyses of sample characteristics	Method
method:descriptive-analysis	Descriptive analyses of sample characteristics and task responses	Method
method:descriptive-analysis	descriptive analysis by EQ‐5D‐5L dimension, index, and visual analog scale scores	Method
method:descriptive-analysis	Descriptive analysis of pre-meeting survey findings	Method
method:descriptive-analysis	Descriptive analysis of response distribution, missing values and completion rates stratified by age group and EQ-5D version	Method
method:descriptive-analysis	descriptive analysis using country-level mode (or median) summaries and regional medians	Method
method:descriptive-analysis	descriptive analysis using frequencies, percentages and box plots	Method
method:descriptive-analysis	descriptive methods such as means, medians, standard deviations and frequency distributions	Method
method:descriptive-statistics	Descriptive statistics (frequencies and percentages)	Method
method:descriptive-statistics	descriptive statistics (frequencies, percentages, mean and SD)	Method
method:descriptive-statistics	descriptive statistics (frequencies, percentages, mean and standard deviation)	Method
method:descriptive-statistics	descriptive statistics (frequencies, percentages, means, standard errors, percentiles)	Method
method:descriptive-statistics	Descriptive statistics (frequency and relative frequency)	Method
method:descriptive-statistics	Descriptive statistics (mean (SD), median (IQR), prevalence of problems)	Method
method:descriptive-statistics	Descriptive statistics (mean and standard deviation, frequencies and percentages)	Method
method:descriptive-statistics	Descriptive statistics (means, standard deviations, 95% confidence intervals)	Method
