entity_type	registry_id	canonical_label	parent_registry_id	applies_to_registry_id	variant_kind	language_code	jurisdiction	version	respondent_form	source_identifier	scope
Product	product:eq-5d-3l-se-experience-vas	Swedish experience-based EQ-5D-3L VAS value set		instrument:eq-5d-3l	PRODUCT_VERSION		SE	2014		10.1007/s11136-013-0496-4	GLOBAL
Product	product:eq-5d-3l-us	United States EQ-5D-3L value set		instrument:eq-5d-3l	PRODUCT_VERSION		US	3L		10.1177/0272989X18802797	GLOBAL
Product	product:eq-5d-5l-ca	Canadian EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		CA	5L		10.1097/MLR.0000000000000447	GLOBAL
Product	product:eq-5d-5l-cn	Chinese EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		CN	5L		10.1016/j.jval.2016.11.016	GLOBAL
Product	product:eq-5d-5l-de	German EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		DE	5L		10.1007/s40273-018-0615-8	GLOBAL
Product	product:eq-5d-5l-england	England EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		GB-ENG	5L		10.1002/hec.3564	GLOBAL
Product	product:eq-5d-5l-es	Spanish EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		ES	5L		10.1016/j.jval.2017.10.023	GLOBAL
Product	product:eq-5d-5l-et-2020	Ethiopian EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		ET	2020		10.1016/j.vhri.2019.08.475	GLOBAL
Product	product:eq-5d-5l-id-2017	Indonesian EQ-5D-5L value set (2017)		instrument:eq-5d-5l	PRODUCT_VERSION		ID	2017		10.1007/s40273-017-0538-9	GLOBAL
Product	product:eq-5d-5l-jp	Japanese EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		JP	5L		10.1016/j.jval.2016.03.1834	GLOBAL
Product	product:eq-5d-5l-kr	South Korean EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		KR	5L		10.1007/s11136-015-1205-2	GLOBAL
Product	product:eq-5d-5l-nl-2016	Netherlands EQ-5D-5L value set (2016)		instrument:eq-5d-5l	PRODUCT_VERSION		NL	2016		10.1016/j.jval.2016.01.003	GLOBAL
Product	product:eq-5d-5l-nl-pits-2022	Netherlands EQ-5D-5L value set on a pits scale		instrument:eq-5d-5l	PRODUCT_VERSION		NL	2022		10.1186/s12955-022-01989-9	GLOBAL
Product	product:eq-5d-3l-sg-2014	Singapore EQ-5D-3L value set		instrument:eq-5d-3l	PRODUCT_VERSION		SG	2014		10.1007/s40273-014-0142-1	GLOBAL
Product	product:eq-5d-5l-pl	Polish EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		PL	5L		10.1007/s40273-019-00811-7	GLOBAL
Product	product:eq-5d-5l-sg-2025	Singapore EQ-5D-5L value set (2025)		instrument:eq-5d-5l	PRODUCT_VERSION		SG	2025		10.1007/s40273-025-01519-7	GLOBAL
Product	product:eq-5d-5l-tt-2024	Trinidad and Tobago EQ-5D-5L value set (2024)		instrument:eq-5d-5l	PRODUCT_VERSION		TT	2024		10.1186/s12955-024-02266-7	GLOBAL
Product	product:eq-5d-5l-tw-2018	Taiwan EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		TW	5L		10.1371/journal.pone.0209344	GLOBAL
Product	product:eq-5d-5l-us	United States EQ-5D-5L value set		instrument:eq-5d-5l	PRODUCT_VERSION		US	5L		10.1177/0272989X18802797	GLOBAL
Product	product:eq-5d-5l-van-hout-crosswalk-2012	van Hout EQ-5D-5L to EQ-5D-3L crosswalk algorithm		instrument:eq-5d-5l	PRODUCT_VERSION			2012		10.1016/j.jval.2012.02.008	GLOBAL
Product	product:eq-hwb-s-gb-pilot-2023	United Kingdom pilot EQ-HWB-S value set		instrument:eq-hwb-s	PRODUCT_VERSION		GB	pilot		10.1016/j.jval.2023.02.008	GLOBAL
Product	product:level-sum-score	Level sum score			PRODUCT_VERSION						GLOBAL
Product	product:msis-8d-gb	United Kingdom MSIS-8D scoring algorithm		instrument:msis-8d	PRODUCT_VERSION		GB	2015		10.1016/j.jval.2015.10.004	GLOBAL
Protocol	protocol:c50-p032-two-wave-eq-tips-5l-choice-task	Two-wave EQ-TIPS-5L alternative-choice-task protocol			STUDY_ADAPTATION					10.1136/bmjopen-2025-100897	C50-P032
Protocol	protocol:cnf-p003-interview-topic-guide	CNF-P003 interview protocol and topic guide			STUDY_ADAPTATION					10.1007/s11136-025-03917-y	CNF-P003
Protocol	protocol:cnf-p009-review-quality-checklist	CNF-P009 review quality checklist			STUDY_ADAPTATION					10.1007/s40273-025-01493-0	CNF-P009
Protocol	protocol:coreq	COREQ									GLOBAL
Protocol	protocol:cosmin-guidelines	COSMIN guidelines									GLOBAL
Protocol	protocol:cosmin-reporting-guideline-revised	Revised COSMIN reporting guideline	protocol:cosmin-guidelines		PROTOCOL_VERSION			2.0		10.1007/s11136-025-03950-x	GLOBAL
Protocol	protocol:cosmin-risk-of-bias-checklist	COSMIN risk-of-bias checklist	protocol:cosmin-guidelines		PRODUCT_VERSION						GLOBAL
Protocol	protocol:eq-5d-5l-valuation-lite	EQ-5D-5L lite valuation protocol	protocol:eq-vt		PROTOCOL_VERSION			lite		10.1007/s40273-021-01101-x	GLOBAL
Protocol	protocol:eq-5d-5l-valuation-qc-2017	EQ-5D-5L valuation quality-control process			PROTOCOL_VERSION			2017		10.1016/j.jval.2016.10.012	GLOBAL
Protocol	protocol:eq-5d-y-translation	EQ-5D-Y translation protocol									GLOBAL
Protocol	protocol:eq-vt	EQ-VT									GLOBAL
Protocol	protocol:eq-vt-2-0	EQ-VT 2.0	protocol:eq-vt		PROTOCOL_VERSION			2.0		10.1371/journal.pone.0209344	GLOBAL
Protocol	protocol:eq-vt-2-1	EQ-VT 2.1	protocol:eq-vt		PROTOCOL_VERSION			2.1			GLOBAL
Protocol	protocol:eq-vt-2-6-1	EQ-VT 2.6.1	protocol:eq-vt		PROTOCOL_VERSION			2.6.1			GLOBAL
Protocol	protocol:mmat	Mixed Methods Appraisal Tool									GLOBAL
Protocol	protocol:prisma	PRISMA guidelines									GLOBAL
Protocol	protocol:prospero-crd42023429906	PROSPERO record CRD42023429906								CRD42023429906	GLOBAL
Protocol	protocol:prospero-crd42023434651	PROSPERO record CRD42023434651								CRD42023434651	GLOBAL
Protocol	protocol:r129-p049-adapted-translated-eq-vt	Adapted translated EQ-VT	protocol:eq-vt		STUDY_ADAPTATION					10.1007/s40271-022-00572-0	R129-P049
Protocol	protocol:record-checklist	RECORD checklist								10.1371/journal.pmed.1001885	GLOBAL
Protocol	protocol:retrieve-checklist	RETRIEVE checklist								10.1007/s40273-023-01333-z	GLOBAL
Software	software:eq-vt	EuroQol Valuation Technology									GLOBAL
Software	software:eq-vt-2-1	EQ-VT 2.1	software:eq-vt		SOFTWARE_VERSION			2.1		10.1007/s40273-025-01519-7	GLOBAL
Software	software:xreg	xreg								https://github.com/intelligentaccident/xreg	GLOBAL
Software	software:zoom	Zoom									GLOBAL
