use_id,study_id,publication_id,doi,publication_year,part_id,use_type,source_label,canonical_label,registry_id,parent_registry_id,parent_label,variant_kind,language_code,jurisdiction,version,respondent_form,context,function,analytic_role
P49a97d0efaa5:MU3,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Method,Purposive sampling,Purposive sampling,method:purposive-sampling,,,,,,,,DIRECT_CURRENT_ACTIVITY,SAMPLING,
P49a97d0efaa5:MU4,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Method,Thematic analysis,Thematic analysis,method:thematic-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_ANALYSIS,
P49a97d0efaa5:MU5,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Method,Open-ended TTO,Open-ended TTO,method:open-ended-tto,method:tto,TTO,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P49a97d0efaa5:MU6,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Method,Open-ended TTO,Open-ended TTO,method:open-ended-tto,method:tto,TTO,METHOD_VARIANT,,,,,CURRENT_STUDY_OBJECT,PREFERENCE_ELICITATION,
P49a97d0efaa5:MU7,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Method,Face-to-face interview,Face-to-face interview,method:face-to-face-interview,method:interview,interview,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49a97d0efaa5:PRU1,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Protocol,COREQ,COREQ,protocol:coreq,,,,,,,,DIRECT_CURRENT_ACTIVITY,REPORTING_GUIDELINE,
P49a97d0efaa5:SU1,P49a97d0efaa5:S1,doi:10.1186/s12955-020-01641-4,10.1186/s12955-020-01641-4,2020,,Software,NVivo 12,NVivo 12,software:nvivo-12,software:nvivo,NVivo,SOFTWARE_VERSION,,,12,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_ANALYSIS,
P49adc9b1df43:IU1,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,,Instrument,EQ-5D-Y,EQ-5D-Y,instrument:eq-5d-y,instrument:eq-5d,EQ-5D,RESPONDENT_VERSION,,,,YOUTH,CURRENT_STUDY_OBJECT,DEVELOPMENT_OBJECT,
P49adc9b1df43:IU2,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P2,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,DIRECT_CURRENT_ACTIVITY,COMPARATOR,
P49adc9b1df43:IU3,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Instrument,EQ-5D-Y,EQ-5D-Y,instrument:eq-5d-y,instrument:eq-5d,EQ-5D,RESPONDENT_VERSION,,,,YOUTH,CURRENT_STUDY_OBJECT,TRANSLATION_TARGET,
P49adc9b1df43:IU4,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P2,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P49adc9b1df43:MU1,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,Cognitive interview,Cognitive interview,method:cognitive-interview,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49adc9b1df43:MU10,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P2,Method,McNemar test,McNemar’s test for paired proportions,method:mcnemars-test-for-paired-proportions,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P49adc9b1df43:MU2,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,paraphrasing method,paraphrasing method,method:paraphrasing-method,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49adc9b1df43:MU3,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,probing,probing,method:probing,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49adc9b1df43:MU4,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,Free association technique,Free association technique,method:free-association-technique,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49adc9b1df43:MU5,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,Understanding Numeric Scale method,Understanding Numeric Scale method,method:understanding-numeric-scale-method,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITATIVE_DATA_COLLECTION,
P49adc9b1df43:MU6,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Method,forward and backward translation,forward and backward translation,method:forward-and-backward-translation,,,,,,,,DIRECT_CURRENT_ACTIVITY,INSTRUMENT_TRANSLATION_OR_ADAPTATION,
P49adc9b1df43:MU8,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P2,Method,Chi-square test,Chi-square test,method:chi-square-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P49adc9b1df43:MU9,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P2,Method,Wilcoxon signed-rank test,Wilcoxon signed-rank test,method:wilcoxon-signed-rank-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P49adc9b1df43:PR1,P49adc9b1df43:S1,doi:10.1007/s11136-010-9648-y,10.1007/s11136-010-9648-y,2010,P49adc9b1df43:P1,Protocol,EuroQol translation and cultural-adaptation protocol,EuroQol translation and cultural-adaptation protocol,protocol:euroqol-translation-cultural-adaptation,,,,,,,,DIRECT_CURRENT_ACTIVITY,TRANSLATION_PROTOCOL,
P4a04524b24b1:IU1,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,"EQ-5D-5L, Dutch, Netherlands","EQ-5D-5L, Dutch, Netherlands",instrument:eq-5d-5l-nl-nl,instrument:eq-5d-5l,EQ-5D-5L,LANGUAGE_EDITION,nl,NL,5L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P4a04524b24b1:IU2,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P4a04524b24b1:IU3,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,"Positive and Negative Affect Schedule, 20-item version","Positive and Negative Affect Schedule, 20-item version",instrument:panas-20,,,FORM_VERSION,,,20-item,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P4a04524b24b1:IU4,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,"Death Thought Accessibility word completion test, Dutch version","Death Thought Accessibility word completion test, Dutch version",instrument:death-thought-accessibility-word-completion-test-dutch-version,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P4a04524b24b1:IU5,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,"Experiences in Close Relationships, Dutch 16-item version","Experiences in Close Relationships, Dutch 16-item version",instrument:experiences-close-relationships-nl-16,instrument:experiences-close-relationships-nl,"Experiences in Close Relationships, Dutch edition",FORM_VERSION,nl,NL,16-item,,DIRECT_CURRENT_ACTIVITY,PREDICTOR_MEASURE,
P4a04524b24b1:IU6,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Instrument,Simplified downward-titration TTO task,Simplified downward-titration TTO task,instrument:simplified-downward-titration-tto-task,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P4a04524b24b1:MU1,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,TTO,TTO,method:tto,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P4a04524b24b1:MU2,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,Downward titration TTO,Downward titration TTO,method:downward-titration-tto,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P4a04524b24b1:MU3,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,Mortality salience essay task,Mortality salience essay task,method:mortality-salience-essay-task,,,,,,,,DIRECT_CURRENT_ACTIVITY,EXPERIMENTAL_DESIGN,
P4a04524b24b1:MU4,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,Television control essay task,Television control essay task,method:television-control-essay-task,,,,,,,,DIRECT_CURRENT_ACTIVITY,EXPERIMENTAL_DESIGN,
P4a04524b24b1:MU5,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,One-way analysis of variance,One-way analysis of variance,method:one-way-anova,method:analysis-of-variance,Analysis of variance,METHOD_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a04524b24b1:MU6,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,Bonferroni correction,Bonferroni correction,method:bonferroni-correction,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a04524b24b1:MU7,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,Pearson correlation coefficient,Pearson correlation coefficient,method:pearson-correlation,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a04524b24b1:MU8,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,TTO response consistency check,TTO response consistency check,method:tto-response-consistency-check,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P4a04524b24b1:MU9,P4a04524b24b1:S1,doi:10.1007/s11136-025-04145-0,10.1007/s11136-025-04145-0,2026,,Method,TTO y/10 scoring rule,TTO y/10 scoring rule,method:tto-y-10-scoring-rule,,,,,,,,DIRECT_CURRENT_ACTIVITY,MAPPING_OR_DERIVATION,
P4a23da10e329:IU1,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,P4a23da10e329:P1,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P4a23da10e329:IU2,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,P4a23da10e329:P1,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,OUTCOME_MEASURE,
P4a23da10e329:IU3,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,P4a23da10e329:P2,Instrument,EQ-5D-3L,EQ-5D-3L,instrument:eq-5d-3l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,3L,,INPUT_DATA_PROVENANCE,OUTCOME_MEASURE,
P4a23da10e329:IU4,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,P4a23da10e329:P2,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,INPUT_DATA_PROVENANCE,OUTCOME_MEASURE,
P4a23da10e329:MOD1,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Model,Two-level random-intercept model,Two-level random-intercept model,model:two-level-random-intercept,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P4a23da10e329:MU1,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Method,Descriptive statistics,Descriptive statistics,method:descriptive-statistics,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a23da10e329:MU2,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,P4a23da10e329:P1,Method,Paretian Classification of Health Change,Paretian Classification of Health Change,method:paretian-classification-of-health-change,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a23da10e329:MU3,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Method,Analysis of covariance,Analysis of covariance,method:analysis-of-covariance,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a23da10e329:MU4,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Method,Complete-case analysis,Complete-case analysis,method:complete-case-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P4a23da10e329:MU5,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Method,Sensitivity analysis,Sensitivity analysis,method:sensitivity-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P4a23da10e329:PR1,P4a23da10e329:S1,doi:10.1136/bmjopen-2020-048176,10.1136/bmjopen-2020-048176,2022,,Protocol,RECORD statement,RECORD statement,protocol:record-statement,,,,,,,,DIRECT_CURRENT_ACTIVITY,REPORTING_GUIDELINE,
P4a45573e7066:IU1,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P4a45573e7066:IU2,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,HEALTH_STATE_DESCRIPTION,
P4a45573e7066:IU3,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Instrument,EQ VAS,EQ VAS,instrument:eq-vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,VALUATION_TARGET,
P4a45573e7066:MOD1,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Model,Tobit model,Tobit model,model:tobit,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P4a45573e7066:MOD2,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Model,Tobit model,Tobit model,model:tobit,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,SUBGROUP
P4a45573e7066:MU1,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,VAS,VAS,method:vas,,,,,,,,DIRECT_CURRENT_ACTIVITY,PREFERENCE_ELICITATION,
P4a45573e7066:MU10,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Genetic matching,Genetic matching,method:genetic-matching,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:MU2,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Propensity score matching,Propensity score matching,method:propensity-score-matching,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:MU3,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Nearest-neighbor matching,Nearest-neighbor matching,method:nearest-neighbor-matching,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:MU4,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Mann-Whitney U test,Mann-Whitney U test,method:mann-whitney-u-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:MU5,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,EQ VAS rescaling to full health = 1 and dead = 0,EQ VAS rescaling to full health = 1 and dead = 0,method:eq-vas-rescaling-to-full-health-1-and-dead-0,,,,,,,,DIRECT_CURRENT_ACTIVITY,MAPPING_OR_DERIVATION,
P4a45573e7066:MU6,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Logical VAS response rule,Logical VAS response rule,method:logical-vas-response-rule,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P4a45573e7066:MU7,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Value censoring,Value censoring,method:value-censoring,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUALITY_CONTROL,
P4a45573e7066:MU8,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Variance inflation factor,Variance inflation factor,method:variance-inflation-factor,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:MU9,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Method,Multiple imputation,Multiple imputation,method:multiple-imputation,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:SW1,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Software,R,R,software:r,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:SW2,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Software,MatchIt R package,MatchIt R package,software:matchit-r-package,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a45573e7066:SW3,P4a45573e7066:S1,doi:10.1002/hec.4399,10.1002/hec.4399,2021,,Software,missForest R package,missForest R package,software:missforest-r-package,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a4d47e4eb70:IU1,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Instrument,EQ-5D-5L,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,SCORING_INPUT,
P4a4d47e4eb70:MU_BA,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Method,Bland-Altman plots,Bland-Altman plots,method:bland-altman-plots,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a4d47e4eb70:MU_CCC,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Method,Lin's concordance correlation coefficient,Lin's concordance correlation coefficient,method:lins-concordance-correlation-coefficient,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a4d47e4eb70:MU_DESC,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Method,Descriptive statistics,Descriptive statistics,method:descriptive-statistics,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a4d47e4eb70:MU_ES,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Method,Standardized effect size,Standardized effect size,method:standardized-effect-size,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a4d47e4eb70:PU2013,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Product,Australian EQ-5D-5L value set (2013),Australian EQ-5D-5L value set (2013),product:eq-5d-5l-au-2013,,,PRODUCT_VERSION,,AU,2013,,CURRENT_STUDY_OBJECT,COMPARATOR,
P4a4d47e4eb70:PU2023,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Product,Australian EQ-5D-5L value set (2023),Australian EQ-5D-5L value set (2023),product:australian-eq-5d-5l-value-set-2023,,,,,,,,CURRENT_STUDY_OBJECT,ANALYSIS_OBJECT,
P4a4d47e4eb70:SW1,P4a4d47e4eb70:S1,doi:10.1007/s40258-024-00894-0,10.1007/s40258-024-00894-0,2024,,Software,SAS 9.4,SAS 9.4,software:sas-9-4,software:sas,SAS,SOFTWARE_VERSION,,,9.4,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a87bb07f104:IU1,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Instrument,"EQ-5D-5L, Dutch, Netherlands","EQ-5D-5L, Dutch, Netherlands",instrument:eq-5d-5l-nl-nl,instrument:eq-5d-5l,EQ-5D-5L,LANGUAGE_EDITION,nl,NL,5L,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_TEST_OBJECT,
P4a87bb07f104:IU2,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Instrument,"EQ-5D-5L, Dutch, Netherlands","EQ-5D-5L, Dutch, Netherlands",instrument:eq-5d-5l-nl-nl,instrument:eq-5d-5l,EQ-5D-5L,LANGUAGE_EDITION,nl,NL,5L,,DIRECT_CURRENT_ACTIVITY,CURRENT_HEALTH_MEASUREMENT,
P4a87bb07f104:IU3,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Instrument,"POSAS 2.0 patient scale, Dutch","POSAS 2.0 patient scale, Dutch",instrument:posas-2-patient-nl,instrument:posas-2-patient,POSAS 2.0 patient scale,LANGUAGE_EDITION,nl,NL,2.0,PATIENT,DIRECT_CURRENT_ACTIVITY,COMPARATOR,
P4a87bb07f104:IU4,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Instrument,EQ-5D-5L skin irritation bolt-on,EQ-5D-5L skin irritation bolt-on,instrument:eq-5d-5l-bolton-skin-irritation,instrument:eq-5d-bolton-skin-irritation,EQ-5D skin irritation bolt-on,LEVEL_VERSION,,,5L,,DISCUSSION_ONLY,REFERENCE_ONLY,
P4a87bb07f104:MO1,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Model,Multiple linear regression,Multiple linear regression,model:multiple-linear-regression,,,,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P4a87bb07f104:MO2,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Model,Item-level linear regression with EQ VAS outcome,Item-level linear regression with EQ VAS outcome,model:item-level-linear-regression-eq-vas,,,MODEL_VARIANT,,,,,DIRECT_CURRENT_ACTIVITY,STATISTICAL_ESTIMATION,PRIMARY_REPORTED
P4a87bb07f104:MU1,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Postal survey,Postal survey,method:postal-survey,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_DATA_COLLECTION,
P4a87bb07f104:MU2,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Descriptive statistics,Descriptive statistics,method:descriptive-statistics,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a87bb07f104:MU3,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Spearman's rank correlation,Spearman's rank correlation,method:spearman-rank-correlation,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P4a87bb07f104:MU4,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Convergent validity analysis,Convergent validity analysis,method:convergent-validity-analysis,,,,,,,,DIRECT_CURRENT_ACTIVITY,MEASUREMENT_PROPERTY_ANALYSIS,
P4a87bb07f104:MU5,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Chi-square test,Chi-square test,method:chi-square-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a87bb07f104:MU6,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Method,Mann-Whitney U test,Mann-Whitney U test,method:mann-whitney-u-test,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a87bb07f104:SW1,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Software,IBM SPSS Statistics 23,IBM SPSS Statistics 23,software:ibm-spss-statistics-23,software:ibm-spss-statistics,IBM SPSS Statistics,SOFTWARE_VERSION,,,23,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4a87bb07f104:SW2,P4a87bb07f104:S1,doi:10.1186/s12955-020-01394-0,10.1186/s12955-020-01394-0,2020,,Software,G*Power,G*Power,software:gpower,,,,,,,,DIRECT_CURRENT_ACTIVITY,QUANTITATIVE_ANALYSIS,
P4afbf0a657c1:IU1,P4afbf0a657c1:S1,doi:10.1186/s12955-018-0985-9,10.1186/s12955-018-0985-9,2018,,Instrument,EQ-5D-5L descriptive system,EQ-5D-5L,instrument:eq-5d-5l,instrument:eq-5d,EQ-5D,LEVEL_VERSION,,,5L,,DIRECT_CURRENT_ACTIVITY,VALUATION_TARGET,
