study_id,publication_id,doi,publication_year,study_ordinal,label,primary_research_family,execution_status,source_status,purposes,countries,component_approach,temporal_structure,comparison_structure,allocation_structure,synthesis_design,mixed_method_integration,project_ids,n_parts,n_instrument_uses,n_method_uses,n_findings,n_limitations,n_products
P3172d43cb5a1:s1,doi:10.1186/s41687-024-00761-5,10.1186/s41687-024-00761-5,2024,1,Cross-cultural adaptation and psychometric validation of Chichewa PedsQL 4.0 GCS child and teen self-reports,INSTRUMENT_VERSION_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | TRANSLATION_AND_CULTURAL_ADAPTATION,Malawi,,,,,,SEQUENTIAL,20190200,2,10,14,11,2,2
P31880b898cdd:S1,doi:10.1007/s11136-024-03618-y,10.1007/s11136-024-03618-y,2024,1,Canadian stakeholder views on measuring and valuing child health,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY,Canada,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,BETWEEN_INSTRUMENT | BETWEEN_METHOD,NOT_APPLICABLE,NOT_APPLICABLE,,342-RA,0,2,7,7,2,0
P31ae298aa33f:study1,doi:10.1186/s12955-021-01858-x,10.1186/s12955-021-01858-x,2021,1,Adult public perspectives on valuing child and adolescent EQ-5D-Y health states,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION,United Kingdom,,,,,,SEQUENTIAL,2016560,2,3,7,11,7,1
P31ff012c0beb:S1,doi:10.1186/s41687-024-00706-y,10.1186/s41687-024-00706-y,2024,1,Italian EQ-HWB and EQ-HWB-S content-validity study,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | TRANSLATION_AND_CULTURAL_ADAPTATION,Italy,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,354-RA,0,4,11,8,4,2
P3269bc00615f:STU1,doi:10.1016/j.zefq.2019.05.011,10.1016/j.zefq.2019.05.011,2019,1,"Development of the German EQ-5D-Y-5L: identification of response labels and pilot testing (German arm of the international EQ-5D-Y label-extension study, May 2014 to May 2017)",INSTRUMENT_VERSION_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | INSTRUMENT_DEVELOPMENT,Germany,,CROSS_SECTIONAL,,NOT_APPLICABLE,NOT_APPLICABLE,SEQUENTIAL,2013200,3,9,7,7,4,2
P32b9b8ac1bf0:S1,doi:10.1016/j.jval.2023.08.013,10.1016/j.jval.2023.08.013,2023,1,"Cross-sectional Australian survey estimating quality-adjusted life expectancy by geographic remoteness and an intersectional MAIHDA of age, sex, and area socioeconomic disadvantage",HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Australia,MODEL_BASED | QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT | BETWEEN_GROUP,NOT_APPLICABLE,,,198-RA,0,2,7,9,6,1
P3319159056bb:S1,doi:10.1007/s11136-025-04061-3,10.1007/s11136-025-04061-3,2025,1,EQ-HWB-9 psychometric performance in Australian and New Zealand adults,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,Australia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,1772-RA,0,5,7,6,6,1
P331a66a51c5a:S1,doi:10.1007/s40271-025-00735-9,10.1007/s40271-025-00735-9,2025,1,"Attribute non-attendance across EQ-5D-5L DCE designs with and without attribute level overlap, Australian general population",METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Australia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,,,2016260,0,2,8,7,4,0
P331d417da70a:S1,doi:10.1016/j.socscimed.2022.115474,10.1016/j.socscimed.2022.115474,2022,1,Effects of self-reported serious health problems on EQ-5D-5L valuation,HEALTH_PREFERENCE_RESEARCH,COMPLETED,RESULTS_REPORTED,CONCEPTUAL_FRAMEWORK_DEVELOPMENT | PREFERENCE_COMPARISON,United Kingdom,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,2013170,0,3,9,6,6,1
P33e1ff3c606a:S1,doi:10.1007/s11136-014-0897-z,10.1007/s11136-014-0897-z,2014,1,Preference inversion sub-study of the 2013 US Measurement and Valuation of Health Study,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | VALUATION_METHOD_EVALUATION,United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,RANDOMIZED,,,2013100,0,3,4,4,2,0
P34048da33620:S1,doi:10.1016/j.vaccine.2024.126568,10.1016/j.vaccine.2024.126568,2024,1,Psychometric evaluation of the adult Vaccine Hesitancy Scale for prenatal vaccines,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,260-RA | 384-RA,0,2,6,6,4,0
P344e1caf5a7e:study1,doi:10.1007/s11136-026-04294-w,10.1007/s11136-026-04294-w,2026,1,EQ-DAPHNIE socioeconomic gradients in EQ VAS within identical EQ-5D-5L profiles,HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Australia | Canada | France | Germany | Netherlands | United Kingdom | United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,,,1830-RA | 367-RA,0,2,5,5,7,0
P34641e0e4fa3:s1,doi:10.1007/s11136-026-04195-y,10.1007/s11136-026-04195-y,2026,1,Transcultural translation and adaptation of EQ-5D-5L for Nepal,INSTRUMENT_VERSION_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | INSTRUMENT_DEVELOPMENT | METHOD_OR_PROTOCOL_QUALITY | TRANSLATION_AND_CULTURAL_ADAPTATION,,,,,,,,,2,7,10,10,6,3
P3477bfec8929:study_1,doi:10.1007/s40271-024-00715-5,10.1007/s40271-024-00715-5,2024,1,EQ-HWB proxy appropriateness study in residential aged care,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | IMPLEMENTATION_EVALUATION,Australia,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,150-RA,0,1,5,7,5,0
P3614355ca2f1:s1,doi:10.1007/s10198-024-01669-z,10.1007/s10198-024-01669-z,2024,1,Validity and responsiveness of Chinese EQ-5D-Y-3L and EQ-5D-Y-5L in paediatric haematological malignancies,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,China,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_INSTRUMENT | WITHIN_DYAD | WITHIN_PERSON,NOT_APPLICABLE,,,20170330,2,8,6,6,5,2
P362be7fa8a06:S1,doi:10.2196/55267,10.2196/55267,2024,1,Qualitative development of design components for clinical dashboards incorporating PROMs,CONCEPTUAL_FRAMEWORK_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONCEPTUAL_FRAMEWORK_DEVELOPMENT | DECISION_SUPPORT_DEVELOPMENT | IMPLEMENTATION_EVALUATION,Germany,,,,,,,301-SG,1,1,4,6,3,1
P362c59ad9c33:S1,doi:10.1186/1477-7525-8-72,10.1186/1477-7525-8-72,2010,1,"EQ-5D-Y self- and proxy-reported HRQoL in children at special versus open schools, Cape Town",HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,South Africa,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,,,,0,3,5,7,4,0
P36ab6ca64f33:S1,doi:10.1007/s40273-024-01356-0,10.1007/s40273-024-01356-0,2024,1,EQ-5D-Y-3L child-parent inter-rater and intra-proxy agreement study,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,Australia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,,NOT_APPLICABLE,NOT_APPLICABLE,,361-RA,2,3,8,8,6,0
P3715442ba34b:S1,doi:10.1007/s40273-025-01509-9,10.1007/s40273-025-01509-9,2025,1,Systematic review of psychometric performance of generic preference-based measures in informal carers,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | MEASUREMENT_PROPERTY_EVALUATION,Australia | China | France | Germany | Italy | South Korea | United Kingdom | United States,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,BETWEEN_INSTRUMENT,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,1481-PHD,0,11,9,9,2,0
P371ccbf7c0d5:S1,doi:10.1016/j.jval.2021.03.009,10.1016/j.jval.2021.03.009,2021,1,Development and comparison of algorithms that map EQ-5D-3L responses to EQ-5D-5L value sets,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,MAPPING_OR_CROSSWALK | METHOD_OR_PROTOCOL_QUALITY,,MODEL_BASED,CROSS_SECTIONAL,BETWEEN_METHOD,NOT_APPLICABLE,,,,0,2,3,6,2,2
P37467c2acc94:S1,doi:10.1186/s41687-021-00361-7,10.1186/s41687-021-00361-7,2021,1,Descriptive report of PROM implementation for program evaluation in Alberta primary care networks,APPLIED_USE_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | OUTCOME_DESCRIPTION,Canada,CONCEPTUAL,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,,4,13,0,8,5,0
P382bf609810b:S1,doi:10.1007/s10198-013-0503-2,10.1007/s10198-013-0503-2,2013,1,"Feasibility and face validity test of the composite time trade-off for EQ-5D-5L health states, Rotterdam, the Netherlands",METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NONRANDOMIZED,,,,0,3,7,5,5,1
P38300f84a8ee:S1,doi:10.1186/s12955-023-02131-z,10.1186/s12955-023-02131-z,2023,1,Systematic review of the characteristics and reporting of health-state utilities used in cost-utility analyses targeting Asian populations,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS | METHOD_OR_PROTOCOL_QUALITY,China | Japan | Malaysia | Singapore | South Korea | Taiwan | Thailand,EVIDENCE_SYNTHESIS,VARIABLE_SOURCE_TIME,BETWEEN_CONTEXT,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,,0,4,7,9,3,0
P384beada6452:S1,doi:10.1016/j.jval.2026.02.013,10.1016/j.jval.2026.02.013,2026,1,Measurement performance of a potential EQ-HWB VAS,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,INSTRUMENT_DEVELOPMENT | MEASUREMENT_PROPERTY_EVALUATION,,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,WITHIN_PERSON,RANDOMIZED,NOT_APPLICABLE,,,2,9,15,8,4,1
P38b3631b069e:S1,doi:10.1016/j.joca.2023.07.004,10.1016/j.joca.2023.07.004,2023,1,Socioeconomic inequalities in EQ-5D-3L and Oxford Hip/Knee Score outcomes of Dutch primary hip and knee arthroplasty patients (LROI 2014-2020),HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | OUTCOME_DESCRIPTION,Netherlands,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP | BETWEEN_METHOD,NOT_APPLICABLE,NOT_APPLICABLE,,200-RA | 287-PHD,0,5,9,9,4,0
P397e73134889:S1,doi:10.1080/09638288.2021.2015628,10.1080/09638288.2021.2015628,2021,1,Comparison of EQ-5D-3L and EQ-5D-5L measurement properties after major unilateral lower limb amputation,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,Sweden,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_INSTRUMENT,NOT_APPLICABLE,NOT_APPLICABLE,,20180760,2,12,10,8,4,0
P39f4c6b163cb:S1,doi:10.1177/14034948211058060,10.1177/14034948211058060,2023,1,Danish EQ-5D-5L population norms and measurement properties,POPULATION_REFERENCE_DESCRIPTION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION | POPULATION_NORMS,Denmark,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_GROUP | BETWEEN_INSTRUMENT,NOT_APPLICABLE,NOT_APPLICABLE,,20170400 | 20170401,0,6,7,8,3,1
P3a5a828fa134:s1,doi:10.1007/s10198-025-01813-3,10.1007/s10198-025-01813-3,2025,1,Cost-effectiveness of dietitian and therapeutic radiographer prescribing in England,HEALTH_ECONOMIC_EVALUATION,COMPLETED,RESULTS_REPORTED,ECONOMIC_EVALUATION | OUTCOME_DESCRIPTION,United Kingdom,MODEL_BASED,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,,2,2,8,9,5,1
P3a787fc2f2f0:S1,doi:10.1186/s12955-022-02047-0,10.1186/s12955-022-02047-0,2022,1,Feasibility and acceptability of routine electronic EQ-5D-5L measurement in Hong Kong primary care,APPLIED_USE_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | OUTCOME_DESCRIPTION,,,,,,,SEQUENTIAL,,2,4,7,9,4,0
P3aa3c1649b1a:study1,doi:10.2196/27669,10.2196/27669,2021,1,Swedish National Quality Registers EQ VAS experience-based valuation study,METHODS_RESEARCH,ANALYSIS_ACTIVE,NO_RESULTS_YET,OUTCOME_DESCRIPTION | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION | VALUE_SET_DEVELOPMENT,Sweden,,,,,,,2016480,4,10,9,0,0,3
P3aabc3ff930b:study_main,doi:10.1186/s12889-025-24238-2,10.1186/s12889-025-24238-2,2025,1,Temporal variation and population reference data for EQ-5D-3L in the Health Survey for England,POPULATION_REFERENCE_DESCRIPTION,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION | POPULATION_NORMS,United Kingdom,QUANTITATIVE_EMPIRICAL,VARIABLE_SOURCE_TIME,BETWEEN_CONTEXT,NOT_APPLICABLE,NOT_APPLICABLE,,,0,2,9,9,7,1
P3abf7ff7ea7e:S1,doi:10.1007/s11136-024-03765-2,10.1007/s11136-024-03765-2,2025,1,Scoping review of gender inclusivity in health-related questionnaires,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,EVIDENCE_SYNTHESIS,,EVIDENCE_SYNTHESIS,NOT_APPLICABLE,NONCOMPARATIVE,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,1543-RA,0,3,4,6,2,0
P3b510eb9534f:study1,doi:10.1186/s12891-022-05354-1,10.1186/s12891-022-05354-1,2022,1,HRQoL and associated factors in Malaysian adults with chronic non-malignant pain,HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Malaysia,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,,0,5,4,4,1,0
P3c0f2cb45b9b:S1,doi:10.1007/s10198-025-01852-w,10.1007/s10198-025-01852-w,2026,1,Comparative analysis of EQ-5D-Y-3L value sets and EQ-5D-5L counterparts,HEALTH_PREFERENCE_RESEARCH,COMPLETED,RESULTS_REPORTED,PREFERENCE_COMPARISON,Australia | Belgium | Brazil | China | Germany | Hungary | Indonesia | Japan | Netherlands | Slovenia | Spain,QUANTITATIVE_EMPIRICAL,NOT_APPLICABLE,,NOT_APPLICABLE,,,1497-RA,2,3,10,10,4,2
P3c7da42f4e51:S1,doi:10.1186/s12955-026-02578-w,10.1186/s12955-026-02578-w,2026,1,United Kingdom qualitative content-validity testing of modified Experimental EQ-HWB-9,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | MEASUREMENT_PROPERTY_EVALUATION,United Kingdom,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,WITHIN_PERSON,NOT_APPLICABLE,,,1892-RA,2,2,5,11,6,1
P3c8b388db628:study_main,doi:10.1007/s11136-026-04328-3,10.1007/s11136-026-04328-3,2026,1,Comparative psychometric evaluation of eight EQ-5D-5L bolt-ons in China and the Netherlands,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,China | Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,NOT_APPLICABLE,,,367-RA,2,15,14,6,8,0
P3c8f282ec847:S1,doi:10.1007/s11136-025-03983-2,10.1007/s11136-025-03983-2,2025,1,EQ-DAPHNIE multicountry population health survey and data infrastructure,APPLIED_USE_RESEARCH,DATA_COLLECTION_COMPLETE,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | MEASUREMENT_PROPERTY_EVALUATION | POPULATION_NORMS,,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,NOT_APPLICABLE,,,367-RA,3,29,7,3,4,3
P3cae5e133ee2:S1,doi:10.1007/s11136-025-04028-4,10.1007/s11136-025-04028-4,2025,1,Qualitative development of culturally relevant Chinese EQ-5D-5L bolt-on items,INSTRUMENT_VERSION_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | INSTRUMENT_DEVELOPMENT,China,,,,,,,398-RA,2,4,5,9,3,1
P3cdd5d7e312d:S1,doi:10.1007/s40273-019-00876-4,10.1007/s40273-019-00876-4,2020,1,French EQ-5D-5L valuation study using the EuroQol EQ-VT 2.0 protocol (cTTO and DCE) in a representative sample of 1048 French adults,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUE_SET_DEVELOPMENT,France,MODEL_BASED | QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,NOT_APPLICABLE,,20170510,0,4,14,12,4,1
P3d2b748ccab0:S1,doi:10.1097/brs.0000000000003431,10.1097/brs.0000000000003431,2020,1,Feasibility and patient-proxy agreement of the EQ-5D-3L-Y in patients with adolescent idiopathic scoliosis in Hong Kong,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION | OUTCOME_DESCRIPTION,China,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,WITHIN_DYAD,NOT_APPLICABLE,NOT_APPLICABLE,,20180530,0,4,9,7,4,0
P3d376dd2988c:study_main,doi:10.1016/j.jval.2023.08.015,10.1016/j.jval.2023.08.015,2023,1,"Comparison of caregiver TTO, lag-time TTO, and composite TTO for valuation of EQ-5D-Y-3L health states",METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION,China,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NONRANDOMIZED,NOT_APPLICABLE,,221-RA,3,7,13,6,4,1
P3d52dcb34cc5:study_1,doi:10.1016/j.jval.2026.03.2234,10.1016/j.jval.2026.03.2234,2026,1,Systematic review of psychometric performance of preference-weighted instruments in older adults,EVIDENCE_SYNTHESIS,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION | EVIDENCE_SYNTHESIS | MEASUREMENT_PROPERTY_EVALUATION,Australia | Brazil | Canada | China | Japan | Singapore | United Kingdom | United States,EVIDENCE_SYNTHESIS,NOT_APPLICABLE,BETWEEN_INSTRUMENT,NOT_APPLICABLE,NARRATIVE_SYNTHESIS | SYSTEMATIC_REVIEW,,1863-RA,0,14,5,8,6,0
P3dce4f0ff57a:S1,doi:10.1016/j.pecinn.2025.100421,10.1016/j.pecinn.2025.100421,2025,1,Usability evaluation of the revised individualized total knee arthroplasty decision aid,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,Canada,,CROSS_SECTIONAL,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,CONVERGENT_PARALLEL,445-RA,2,4,3,5,3,1
P3dcf7b04845b:S1,doi:10.3389/fepid.2023.1144162,10.3389/fepid.2023.1144162,2023,1,"POPCORN cross-sectional and longitudinal comparison of HRQOL and mental well-being between persons with and without post COVID-19 condition, six countries, 2020-2022",HEALTH_OUTCOME_RESEARCH,COMPLETED,RESULTS_REPORTED,OUTCOME_DESCRIPTION,Italy | Netherlands | Sweden | United Kingdom | United States,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP | WITHIN_PERSON,NOT_APPLICABLE,NOT_APPLICABLE,,460-RA,0,5,11,10,5,0
P3e2170e62c8b:S1,doi:10.1016/j.jval.2022.08.011,10.1016/j.jval.2022.08.011,2022,1,Three-arm experiment of modifications to composite time trade-off for EQ-5D-5L valuation,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUATION_METHOD_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,,,,3,3,9,8,8,2
P3f0edb4cbf51:S1,doi:10.1007/s40271-020-00490-z,10.1007/s40271-020-00490-z,2020,1,Feasibility and comparability of interviewer-assisted digital (tele) composite time trade-off interviews versus face-to-face composite TTO interviews in the Netherlands,METHODS_RESEARCH,DATA_COLLECTION_COMPLETE,PARTIAL_RESULTS,HEALTH_STATE_VALUATION | METHOD_OR_PROTOCOL_QUALITY | VALUATION_METHOD_EVALUATION,Netherlands,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,NONRANDOMIZED,NOT_APPLICABLE,,20190080R1,0,2,11,8,5,0
P3f1c66a67d20:S1,doi:10.1016/j.jval.2025.01.003,10.1016/j.jval.2025.01.003,2025,1,United Arab Emirates EQ-5D-5L valuation study,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUE_SET_DEVELOPMENT,,MODEL_BASED | QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NOT_APPLICABLE,NOT_APPLICABLE,,1465-VS,0,4,8,10,2,1
P4007ee6c12d5:study_main,doi:10.3233/jad-210421,10.3233/jad-210421,2021,1,Head-to-head psychometric comparison of EQ-5D-3L and EQ-5D-5L self-ratings in dementia,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,MEASUREMENT_PROPERTY_EVALUATION,Germany,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_INSTRUMENT,NOT_APPLICABLE,,,152-RA,0,8,12,9,4,0
P402a8ba12b72:S1,doi:10.1016/j.jval.2016.01.003,10.1016/j.jval.2016.01.003,2016,1,Dutch EQ-5D-5L valuation study (cTTO and DCE) to derive a national value set,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | POPULATION_NORMS | VALUE_SET_DEVELOPMENT,Denmark | Italy | Netherlands | Poland | United Kingdom,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,RANDOMIZED,,,,0,4,6,8,6,2
P402e54ee500b:S1,doi:10.1097/mlr.0000000000000178,10.1097/mlr.0000000000000178,2014,1,"Multinational discrete choice experiment for valuing EQ-5D-5L health states in Canada, England, The Netherlands and the United States",METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | PREFERENCE_COMPARISON | VALUATION_METHOD_EVALUATION,Canada | Netherlands | United Kingdom | United States,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_CONTEXT,RANDOMIZED,,,,0,4,9,11,6,1
P407092b97b3c:S1,doi:10.1007/s40273-022-01208-9,10.1007/s40273-022-01208-9,2023,1,Evaluation of the extensive pilot phase in the Egyptian EQ-5D-5L valuation study,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,Egypt,QUANTITATIVE_EMPIRICAL,LONGITUDINAL_REPEATED,BETWEEN_GROUP,NOT_APPLICABLE,NOT_APPLICABLE,,335-RA,0,1,4,5,1,0
P40e6f63bf922:s1,doi:10.1007/s40273-022-01222-x,10.1007/s40273-022-01222-x,2022,1,US stakeholder roundtable to inform EQ-5D-Y-3L valuation,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,IMPLEMENTATION_EVALUATION | METHOD_OR_PROTOCOL_QUALITY,United States,QUALITATIVE_INQUIRY | QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,SEQUENTIAL,409-RA,2,1,5,6,6,1
P40eee3ad6ab4:S1,doi:10.1111/hex.70431,10.1111/hex.70431,2025,1,Content validity of EQ-5D instruments in Chinese adults and children with Duchenne muscular dystrophy,MEASUREMENT_PROPERTY_EVALUATION,COMPLETED,RESULTS_REPORTED,CONTENT_VALIDITY_EVALUATION,China,QUALITATIVE_INQUIRY,CROSS_SECTIONAL,NONCOMPARATIVE,NOT_APPLICABLE,NOT_APPLICABLE,,1495-RA,2,2,8,10,3,0
P4130fc37004d:study_hu_y3l,doi:10.1007/s40273-022-01190-2,10.1007/s40273-022-01190-2,2022,1,Hungarian EQ-5D-Y-3L national valuation study,VALUE_SET_DEVELOPMENT,COMPLETED,RESULTS_REPORTED,HEALTH_STATE_VALUATION | VALUATION_METHOD_EVALUATION | VALUE_SET_DEVELOPMENT,Hungary,QUANTITATIVE_EMPIRICAL,CROSS_SECTIONAL,BETWEEN_METHOD,NOT_APPLICABLE,,,192-VS,2,5,7,7,5,1
P41368d87df09:S1,doi:10.3390/jcm10184205,10.3390/jcm10184205,2021,1,Concordance and longitudinal-change comparison of eight EQ-5D-3L value sets in Swedish total hip replacement patients,METHODS_RESEARCH,COMPLETED,RESULTS_REPORTED,METHOD_OR_PROTOCOL_QUALITY | PREFERENCE_COMPARISON,Sweden,,,,,,,2016480,2,5,5,8,3,0
